Grouping	التصنيف الأشمل	Cultural Period	العصر	Start Date	End Date	Sub-Period	عصر فرعي	Unnamed: 8	Unnamed: 9
						Islamic, Late (Ottoman) (Iraq)	إسلامي، متأخر (عثماني) (العراق)	1500	1900
		Islamic (Iran)	إسلامي (إيران)	640	1900	Islamic, Early (Ummayad/Abbasid) (Iran)	إسلامي، مبكر (أموي/ عباسي) (إيران)	640	800
						Islamic, Early (Tahirid/Saffarid/Samanid/Buyids) (Iran)	إسلامي، مبكر (طاهري/ صفاري/ ساماني/ بويهي) (إيران)	800	1000
						Islamic, Middle (Ghaznavid/Seljuq/Khwarazmshah) (Iran)	إسلامي، وسيط (غزنوي/ سلجوقي/ مظفري/ خوارزم شاه) (إيران)	1000	1200
						Islamic, Middle (Mongol/Ilkhanid/Muzaffarid/Jalayrid) (Iran)	إسلامي، وسيط (منغولي/ إلخاني/ مظفري/ جلائري) (إيران)	1200	1400
						Islamic, Late (Timurid/Safavid/Qajar) (Iran)	إسلامي، متأخر (تيموري/ صفوي/ قاجاري) (إيران)	1400	1900
		Islamic (North Africa)	إسلامي (شمال أفريقيا)	640	1900	Islamic, Early (Umayyad/Abbasid) (North Africa)	إسلامي، مبكر (أموي/ عباسي) (شمال أفريقيا)	640	900
						Islamic, Middle (Fatimid/Zirid/Hammadid/Almoravid/Almohad) (North Africa)	إسلامي، وسيط (فاطمي/ زيري/ حمادي/ مرابطي/ موحدي) (شمال أفريقيا)	900	1200
						Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)	إسلامي، متأخر (أيوبي/ حفصي/ مريني/ زياني/ مملوكي) (شمال أفريقيا)	1200	1500
						Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)	إسلامي، متأخر (عثماني/ سعدي/ وطاسي/ علوي/ كولونيالي) (شمال أفريقيا)	1500	1900
CONTEMPORARY ISLAMIC	إسلامي معاصر	Contemporary Islamic (MENA)	إسلامي معاصر (مينا)	1900	Present	Contemporary Islamic, Early 20th century (MENA)	إسلامي معاصر، القرن العشرين مبكر (مينا)	1900	1950
						First World War (MENA)	الحرب العالمية الأولى (مينا)	1914	1918
						Second World War (MENA)	الحرب العالمية الثانية (مينا)	1939	1945
						Contemporary Islamic, Modern (MENA)	إسلامي معاصر، حديث (مينا)	1950	Present
						x			
									
									
									
REGION	Countries/Areas Included	الدول/ المناطق المشمولة	الإقليم						
MENA	Applicable to the entire MENA region, all countries where EAMENA works	يشمل جميع إقيلم مينا (الشرق الأوسط وشمال أفريقيا)، جميع البلاد التي يعمل بها مشروع يامينا	مينا						
Middle East	Applicable to all countries of the Middle East	يشمل جميع بلاد الشرق الأوسط	الشرق الأوسط						
North Africa	Applicable to all countries of North Africa	يشمل جميع بلاد شمال أفريقيا	شمال أفريقيا						
Maghreb	Applicable to the countries of the modern Maghreb, including Libya, Tunisia, Algeria, Morocco, Western Sahara, and Mauritania	يشمل جميع بلاد المغرب العربي الحديث، بما في ذلك ليبيا، وتونس، والجزائر، والمغرب، والصحراء الغربية، وموريتانيا	المغرب						
Levant	Applicable to region commonly known as the Levant, normally including Syria, Jordan, Lebanon, Palestine, and Israel	يشمل المعروفة بالشام، والتي تشمل عادة سوريا، والأردن، ولبنان، وفلسطين، واسرائيل	الشام						
Mesopotamia	The region around the Tigris-Euphrates River System, primarily including north/eastern Syria, Iraq, the Iraq/Iran border region, and Kuwait	المنطقة حول نهري دجلة والفرات، وبشكل أساسي تشمل شرق وشمال سوريا، والعراق، والمناطق الحدودية لإيران، والكويت	بلاد الرافدين						
Arabia	The Arabian peninisula, including Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, Yemen, and United Arab Emirates	شبه الجزيرة العربية، وتشمل البحرين، والكويت، وعمان، وقطر، والسعودية، واليمن، والإمارات المتحدة	الجزيرة العربية						
	**It should be noted that these are approximate guidelines only. Modern countries and borders rarely correspond to ancient regions. So for example, while modern Saudi Arabia is generally considered to be part of 'Arabia', for certain periods and/or types of sites, it may be more appropriate to use the 'Levant' cultural periods for some parts of northwestern Saudi Arabia. Use your judgment, as well as certainty levels where necessary.	"** يجب ملاحظة أن هذه هي مجرد إرشادات تقريبية. فمن النادر ما تتطابق الدول الحديثة والحدود الحديثة مع المناطق القديمة. فعلى سبيل المثال،  فإن شمال السعودية الحديثة يعتبر جزءاً من ""الجزيرة العربية"" فيما يخص بعض الفترات التاريخية/ وأنواع المواقع، بينما قد تكون جزءاً من ""الشام"" في فترات ثقافية أخرى. ولذلك يجب أخذ ذلك في الاعتبار والتأكد على جميع المستويات عند الضرورة"							
