city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Solţānābād,36.4035,58.0389,Iran,IR,Khorāsān-e Raẕavī,minor,,
Ābādeh,31.1608,52.6506,Iran,IR,Fārs,minor,,
Sarakhs,36.5447,61.1575,Iran,IR,Khorāsān-e Raẕavī,minor,,
Bastak,27.1992,54.3667,Iran,IR,Hormozgān,minor,,
Ḩājjīābād,28.3574,54.4233,Iran,IR,Fārs,minor,,
Haftkel,31.4422,49.5317,Iran,IR,Khūzestān,minor,,
Khowrmūj,28.6542,51.3800,Iran,IR,Būshehr,minor,,
Fīrūzkūh,35.7567,52.7706,Iran,IR,Tehrān,minor,,
Shahr-e Qadīm-e Lār,27.6834,54.3417,Iran,IR,Fārs,minor,,
Nūrābād,30.1141,51.5217,Iran,IR,Fārs,minor,,
Rāsak,26.2368,61.3990,Iran,IR,Sīstān va Balūchestān,minor,,
Fāryāb,28.0987,57.2318,Iran,IR,Kermān,minor,,
Hoveyzeh,31.4619,48.0739,Iran,IR,Khūzestān,minor,,
‘Anbarābād,28.4758,57.8481,Iran,IR,Kermān,minor,,
Roshtkhvār,34.9667,59.6167,Iran,IR,Khorāsān-e Raẕavī,minor,,
Anār,30.8733,55.2706,Iran,IR,Kermān,minor,,
Manūjān,27.4064,57.5014,Iran,IR,Kermān,minor,,
Bandar-e Khamīr,26.9522,55.5850,Iran,IR,Hormozgān,minor,,
Arakvāz-e Malekshāhī,33.3828,46.5983,Iran,IR,Īlām,minor,,
Arzū’īyeh,28.4414,56.3728,Iran,IR,Kermān,minor,,
Māmūnīyeh,35.3056,50.4992,Iran,IR,Markazī,minor,,
Māhneshān,36.7442,47.6725,Iran,IR,Zanjān,minor,,
Āshtīān,34.5219,50.0058,Iran,IR,Markazī,minor,,
Garmeh,36.9833,56.2833,Iran,IR,Khorāsān-e Shomālī,minor,,
Eqlīd,30.8881,52.6850,Iran,IR,Fārs,minor,,
Nīkshahr,26.2258,60.2142,Iran,IR,Sīstān va Balūchestān,minor,,
Neyrīz,29.1986,54.3278,Iran,IR,Fārs,minor,,
Gonābād,34.3528,58.6836,Iran,IR,Khorāsān-e Raẕavī,minor,,
Kalāt-e Nāderī,36.9953,59.7647,Iran,IR,Khorāsān-e Raẕavī,minor,,
Sūrīān,30.4551,53.6510,Iran,IR,Fārs,minor,,
Zābolī,27.1310,61.6744,Iran,IR,Sīstān va Balūchestān,minor,,
Qarah Āghāj,37.2187,47.2167,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Sūrān,27.2856,61.9964,Iran,IR,Sīstān va Balūchestān,minor,,
Konārak,25.3603,60.3994,Iran,IR,Sīstān va Balūchestān,minor,,
Dehlorān,32.6942,47.2678,Iran,IR,Īlām,minor,,
Bardsīr,29.9275,56.5722,Iran,IR,Kermān,minor,,
Qā’en,33.7267,59.1844,Iran,IR,Khorāsān-e Jonūbī,minor,,
Ḩājjīābād,33.6050,59.9934,Iran,IR,Khorāsān-e Jonūbī,minor,,
Moḩammadābād,28.6689,59.0733,Iran,IR,Kermān,minor,,
Asadīyeh,32.9428,59.7200,Iran,IR,Khorāsān-e Jonūbī,minor,,
Khonj,27.8833,53.4333,Iran,IR,Fārs,minor,,
Īrānshahr,27.2024,60.6848,Iran,IR,Sīstān va Balūchestān,minor,,
Hendījān,30.2364,49.7119,Iran,IR,Khūzestān,minor,,
Abarkūh,31.1289,53.2822,Iran,IR,Yazd,minor,,
Tafresh,34.6919,50.0128,Iran,IR,Markazī,minor,,
Farāshband,28.8714,52.0917,Iran,IR,Fārs,minor,,
Qal‘eh Ganj,27.5236,57.8811,Iran,IR,Kermān,minor,,
Khāsh,28.2211,61.2158,Iran,IR,Sīstān va Balūchestān,minor,,
Jājarm,36.9501,56.3800,Iran,IR,Khorāsān-e Shomālī,minor,,
Ferdows,34.0186,58.1722,Iran,IR,Khorāsān-e Jonūbī,minor,,
Ḩājjīābād,28.3091,55.9017,Iran,IR,Hormozgān,minor,,
Bajestān,34.5164,58.1844,Iran,IR,Khorāsān-e Raẕavī,minor,,
Mehrīz,31.5853,54.4415,Iran,IR,Yazd,minor,,
Mehrān,33.1222,46.1647,Iran,IR,Īlām,minor,,
Shahr-e Bābak,30.1164,55.1186,Iran,IR,Kermān,minor,,
Dalgān,27.4753,59.4717,Iran,IR,Sīstān va Balūchestān,minor,,
Kūhbanān,31.4103,56.2825,Iran,IR,Kermān,minor,,
Sardasht,26.4558,57.9028,Iran,IR,Hormozgān,minor,,
Sarbīsheh,32.5756,59.7983,Iran,IR,Khorāsān-e Jonūbī,minor,,
Mayāmey,36.4109,55.6502,Iran,IR,Semnān,minor,,
Shahr-e Herāt,30.0542,54.3731,Iran,IR,Yazd,minor,,
Boshrūyeh,33.8683,57.4289,Iran,IR,Khorāsān-e Jonūbī,minor,,
Bāfq,31.6053,55.4028,Iran,IR,Yazd,minor,,
Jāsk,25.6439,57.7744,Iran,IR,Hormozgān,minor,,
Ardakān,32.3094,54.0186,Iran,IR,Yazd,minor,,
Sarāyān,33.8603,58.5217,Iran,IR,Khorāsān-e Jonūbī,minor,,
Rāvar,31.2656,56.8056,Iran,IR,Kermān,minor,,
Nehbandān,31.5419,60.0364,Iran,IR,Khorāsān-e Jonūbī,minor,,
Ţabas,33.5959,56.9244,Iran,IR,Khorāsān-e Jonūbī,minor,,
Nā’īn,32.8601,53.0875,Iran,IR,Eşfahān,minor,,
