Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Bath-house	حمام	A building designed for the purpose of bathing/washing, but can also house various other activities related to health, entertainment, or religion	مبنى مصمم لغرض الاستحمام/ الغسل، ولكن من الممكن أيضاً أن تتم فيه نشاطات أخرى لها علاقة بالصحة، أو الترفيه، أو الدين			
Battlefield	ساحة معركة	A location where a battle/conflict took place				
Boundary/Barrier	حدود/ حاجز	A linear feature designed to mark the edge of a territory or to control the movement of people and animals across the landscape; can be a continuous wall or ditch, or a series of boundary markers. This definition includes clausurae	ملمح طولي مصمم لتحديد حدود مساحة أرض معينة، أو للتحكم في حركة الناس أو الحيوانات في منطقة ما، ومن الممكن أن يكون جداراً مستمراً، أو خندقاً، أو سلسلة من علامات تحديد الحدود، ويشمل ذلك الحواجز العرضية الدفاعية			
Bridge	جسر	A structure designed to enable one to cross over a barrier or obstacle, such as a body of water, chasm, etc.	منشأ مصمم لكي يسمح للإنسان بالعبور عبر حاجز وعقبة، مثل جسم مائي، وغيره من العقبات			
Building	مبنى	A structure with walls and a roof enclosing an area, but for which no specific purpose can definitely be identified	منشأ عبارة عن أربعة جدران وسقف لاحتواء فراغ معين، إلا أنه من غير الممكن التحديد المؤكد لوظيفة معينة له			
Building/Enclosure	مبنى/ مساحة مسيجة	A walled structure enclosing a certain area, but for which it is not possible to tell if it was roofed or not.	منشأ مكون أربعة جدران تحيط بفراغ معين، ولكن من غير الممكن معرفة ما إذا كان له سقف في السابق أم لا	مبنى/ مساحة مطوقة	original is better	
Bunker	مستودع محصن	A structure designed to protect people or objects/materials from attacks, such as bombing etc.	مبنى مصمم لحماية الناس أو الأشياء/المواد من الهجوم، مثل القصف وغيره من أشكال الهجوم	مستودع محصن	ok	غرفة محصنة
Burnt Area	منطقة بها آثار حرق	Zone characterized by the presence of ashy deposits, charcoal, colour differences etc., which would indicate exposure to fire.  This term should be used when the area CANNOT be stricly defined as Kiln(s)/Forge/Furnace or Hearth(s)/Oven(s)	منطقة تتميز بوجود الرماد، أو الفحم، أو ترسبات بألوان مختلفة، مما يشير إلى حدوث حريق. يجب استخدام هذا المصطلح عندما لا يمكن تحديد المنطقة بشكل قاطع على أنها تنور، أو فرن.	منطقة بها آثار حرق	yes	منطقة محروقة
Camp (temporary)	مخيم (مؤقت)	A temporary habitation locale	مكان للإقامة المؤقتة			
Canal	قناة مائية	An artifical waterway constructed for the purposes of cutting across a drainage divide, making access or movement of water or vessels between two drainage basins possible or conveying water and/or ships inland	قناة مائية من صنع الإنسان لأغراض مختلفة، مثل اختراق حاجز صرف، أوتوصيل المياه أو نقلها بين خزانات صرف، و/أو نقل المراكب إلى منطقة داخلية			
Caravanserai/Khan	محطة قوافل/خان/وكالة	A building located along a road for receiving travellers, comprising a central courtyard lined on one or more sides by ranges of rooms	مبنى يقع على طريق لاستقبال المسافرين، يتكون من فناء داخلي يحده من جانب واحد أو أكثر صف من الغرف	محطة قوافل/خان	yes but also keeping the word: وكالة	وكالة/خان
Channel	مجرى مائي	Man-made dug/altered linear feature constructed for the purposes of controlling the movement and flow of water	مجرى طولي تم حفره أو تعديله بواسطة الإنسانبهدف التحكم في إنسياب الماء			
Church/Chapel	كنيسة/مصلى عبادة مسيحية	Building used for Christian worship	مبنى يستخدم للعبادة المسيحية	كنيسة/مصلى	ok, but the original translation has: for christian	كنيسة/مكان عبادة مسيحية
Circus/Hippodrome	مضمار روماني لسباق الخيل/مضمار سباق الخيل	An oblong structure designed primarily for racing, but also other sporting activities, primarily in the Greek/Roman world	مبنى طولي مصمم بشكل أساسي للسباق، وكذلك لأنشطة رياضية أخرى، وفي الأغلب كان ذلك في العصور الإغريقية والرومانية	مضمار روماني لسباق الخيل/مضمار سباق الخيل	ok	مدرج روماني للألعاب الرياضية/مضمار السباق الروماني
Cistern	صهريج	An enclosed man-made structure designed for the storage of water	بناء مغلق من صنع الإنسان مصمم لتخزين المياه			
Clearance Pile	ركام ناتج الحفر	A pile of stones created through the clearing of land, most often for agricultural purposes	كومة من الأحجار تكونت نتيجة لإخلاء قطعة أرض، في الأغلب لأغراض الزراعة	كوم ردميات الحفريات	no	
Colonnaded Street	شارع مُعمد	A street or road which has been monumentalised by the addition of columns that run for all or part of its length.				
Column/Obelisk	عمود/مسلة	Upright pillar, can be freestanding, or used as support features in a building	عمود قائم، ويمكن أن يكون منفرداً، مستخدم لدعم أجزاء من مبنى			
Crossbar Arrangement (Gate)	خط مستعرض (بوابة)	A complex arrangement of cairns and/or walls which form the shape of a 'gate', i.e. 2 or more long parallel walls/arrangement of cairns, bounded at both ends by a more substantial wall/group of cairns	تشكيل مركب من الأحجار و/أو الجدران على شكل بوابة، أي اثنين من الجدران، أو مجموعات الأحجار يشكلان خطان متوازيان يحدهما في كلا النهايتين جدار أو مجموعة أحجار 			
Dolmen	دلمن	A structure consisting of megalithic stone uprights and (at least originally) topped with a capstone. Please note, that these should always be reocorded as Form=upright stone features 	منشأ مكون من حجر مغليثي قائم (أو على الأقل كان في الأصل قائماً) يعلوه حجر عرضي. الرجا ملاحظة أنه يجب تسجيلهم كأشكال = ملمح حجري قائم			
Education/Athletics Building	مبنى تعليمي/ مبنى رياضي	A structure or complex (including areas of land) for education and/or athletic training, e.g. school, gymansium	مبنى أو مجمع أبنية (شاملاً قطع أراضي) للتعليم و/أو للتدريبات الرياضية. مثال: مدرسة، جمنازيوم			
Emplacement/Foxhole	حفرة مدفع	Man-made locale prepared for positioning weapons/artillery/tanks	مكان من صنع الإنسان مهيأ لتصويب أسلحة/ مدفعية/ عربات مدرعة أو دبابات	حفرة مدفع	ok	حفرة المدفع
Enclosure	مساحة مسيّجة	A built or dug perimeter designed to enclose a specific space	مساحة يتم بناؤها أو حفرها للإحاطة بفضاء معين	مساحة مطوقة	no	
Farm	مزرعة	An area of land, associated buildings and features which is specifically allocated for the use of agriculture/arboriculture/animal rearing. This resource interpretation refers to the entire farm complex, rather than any individual farm buildings.	مساحة من الأرض، ومباني وملامح مرتبطة بها مخصصة لأغراض الزراعة، أو التشجير، او رعي الحيوانات. ويشمل تفسير الملمح المجمع الزراعي بأكمله، وليس أحد مباني المزرعة منفرداً			
Farm Building	مبنى مزرعة	An building(s) specifically allocated for the use of agriculture/arboriculture/animal rearing. This resource interpretation refers to a specific building/buildings that are being used for these practices, rather than an entire farm complex and the land associated with the farm.	مبنى أو مجموعة مباني مخصصة  لأغراض الزراعة، أو التشجير، او رعي الحيوانات. والمقصود بهذا التفسير للمورد مبنى أو مباني معينة استخدمت لهذا الغرض وليس لمجمل مجمع المزرعة والأراضي المرتبطة به			
Field System	نظام تقسيم إراض زراعية	A complex of field boundaries forming a coherent and discrete unit	مجموعة من الحدود لحقل تحدد وحدة واضحة ومحددة	نظام تقسيم إراض زراعية	ok	تقسيم إراضي زراعية
Fish Pond	حوض سمك	Constructed or rock-cut pond or reservoir used to stock fish for aquaculture				
Fish Trap/Weir	قنطرة احتجاز/امساك السمك	Standing structure or device used to catch fish				
Flooring/Mosaic/Paving	تبليط/فسيفساء/رصف	Man-made horizontal surface; can be created (e.g. a beaten earth floor) or laid (e.g. a mosaic).	سطح أفقي من صنع الإنسان: ويمكن أن يكون قد تم إنشاؤه (بدك التربة الطينية على سبيل المثال)، أو بالتركيب (مثل الموزاييك)	تبليط/فسيفساء/رصف	ok	أرضية/فسيفساء/تبليطات
Fort/Fortress/Castle	معقل/حصن/قلعة	A defended building or complex of buildings	مبنى دفاعي، أومجمع من المباني الدفاعية	معقل/حصن/قلعة	ok	تحصين/حصن/قلعة
Fountain	نافورة	A man-made structure from which a jet or stream of water issues; includes monumental nymphaea	مبنى من صنع الإنسان يخرج منه الماء، ويشمل ذلك نيمفاي (الصروح على شكل منحوتات حجرية آدمية بها نوافير مياه)			
Funerary Complex	مجمع دفن	A group of structures or features used for a funerary purpose, but including more than tombs (e.g. funerary preparation, funerary altars, etc.)				
Gateway/Arch/Intersection 	مدخل/عقد/تقاطع	A structure which specifically designates and/or formalises a liminal space or marks an intersection (e.g. Tetrapylon)	منشأ يحدد أو يشكل مكان انتقالي، أو يحدد تقاطع (مثال: تيترابايلون)			
Gathering Area	مكان تجمّع	An open-air space intended for public assemblies and/or events (e.g. Forum, Agora etc.)	مكان في الهواء الطلق لتجمع الناس و/أو المناسبات (مثال: الفورام، أو الأجورا)			
Government/Administrative Building	مبنى إداري/عام	A building in which activities related to the public administration or government of a region take place, and for which no other specific building is listed. For example, this might include at Roman curia, or a courthouse.				
Grove/Garden/Orchard	بستان/حديقة	A plot of land, often but not exclusively domestic, used specifically for growing flowers and plants, fruits, and/or vegetables	مساحة من الأرض، وعادة لا تكون سكنية، تستخدم بشكل خاص لزراعة الزهور والنباتات، والفواكه و/أو الخضروات			
Hearth/Oven	موقد/ فرن	Area or structures designed for cooking or processing agricultural/animal products	مساحة أو منشأ مخصص للطهي، أو لتصنيع المنتجات الزراعية أو الحيوانية			
Hostelry	نُزُل	A public place for where drinks (and food) are served, like an inn or pub				
House/Dwelling	بيت/ مسكن	A structure primarily intended for the habitation of people	منشأ يستخدم بشكل رئيس لسكنى الناس			
Hunting Hide/Trap	مخبأ صيد/ فخ	Feature or structure designed to conceal humans during hunting and/or to funnel/enclose wild animals where they can be more easily captured/killed	ملمح أو منشأ مصمم لإخفاء الإنسان خلال الصيد و/أو الإيقاع بالحيوانات البرية في مكان أو وضع يسهل معه إصطيادها			
Inscription/Rock Art/Relief	نقش/ فن صخري/ نحت بارز	Inscribed/carved/painted object or surface	ملمح تم نحته أو الكتابة عليه أو تلوينه			
Kiln/Forge/Furnace	فرن/كير حدادة/ موقد	Structure designed for the processing/manufacture of pottery, lime or metal	منشأ مصمم لتصنيع الفخار، أو الجير، أو المعادن	فرن/كير حدادة/ موقد	ok	تنور/أتون/ كير الحداد
Kite	كايت/ فخ لصيد الحيوانات البرية	A complex structue often consisting of converging walls leading to an enclosure at one end, presumed to have been used for hunting. The guide walls and head may have associated small enclosures and/or cairns. The guide walls or main enclosure may not be present due to the use of landscape features for the same purpose.	منشأ معقد، غالباً ما يتكون من جدران موجهة بحيث تقود إلى مساحة مغلقة في إحدى نهاياتها، ويفترض أنها كانت تستخدم للصيد. وقد يكون ملحقاً بالجدران الموجهة والمساحة المغلقة مساحات صغيرة مغلقة ملحقة بها، أو أكوام حجارة. وقد تكون الجدران الموجهة والمساحة المغلقة الرئيسية غير موجودة نتيجة لاستخدام ملامح طبيعية موجودة في المكان لنفس الغرض			
Landing Place	مرفأ	Location where ships/boats can be beached to on/offload people and cargo				
Large Circle	دائرة كبيرة	A large circular or sub-circular enclosure, of 200+ m diameter	مساحة كبيرة دائرية أو شبه دائرية تحيط بمساحة قطر دائرتها أكثر من 200 متر 			
Latrine/Toilet	مرحاض	Fixed facilities to accommodate human bodily functions	مكان محدد مخصص للوظائف الجسدية			
Lighthouse	منارة	A building, normally a tower, used for signalling ships and indicating the location of the shore				
Managed Site	موقع أثري له إدارة	An archaeological site or part thereof which is managed by an authorised body	موقع أثري، أو جزء من موقع أثري تتم إدارته من قبل الجهات المسئولة			
Market/Commercial Unit	سوق/وحدة تجارية	Open or covered area or structure designed for commercial activities	مساحة مفتوحة أو مغطاة أو منشأ للنشاطات التجارية			
Megalithic Feature	معلم من حجارة ضخمة	A feature primarily composed of of large, monolithic stones of unknown/indeterminate form/arrangement	ملمح مكون من أحجار مونوليثية ضخمة غير معروف أو غير محدد الشكل أو التنسيق	معلم من حجارة ضخمة	yes	معلم مغليثي
Midden/Waste Deposit	مزبلة/ كومة فضلات	A dump of waste material	مكان التخلص من المواد والمخلفات			
Mill (water)	طاحونة (مائية)	A structure or building used for grinding/milling and fueled by water	منشأ أو مبنى مستخدم في الطحن أو الهرس، ويتم تشغيله بالماء			
Mill (wind)	طاحونة (هوائية)	A structure or building used for grinding/milling and fueled by wind	منشأ أو مبنى مستخدم في الطحن أو الهرس، ويتم تشغيله بالهواء			
Mill/Quern/Grindstone Element	رحى/ مطحنة يدوية/أحد عناصر حجر الرحى	Objects or elements associated with the milling or grinding of agricultural products	قطع أو عناصر مرتبطة بعملية الطحن، أو الهرس للمنتجات الزراعية			
Minaret	مئذنة	A tall, thin tower on or near a mosque from which people are called to pray				
Mine/Quarry/Extraction	محجر/ منجم/ استخراج	An area in which materials such as metal ores, minerals or stone have been extracted from the ground	المساحة التي استخراج فيها المواد مثل المعادن، والحجر من الأرض			
Monastic Complex	مجمع رهباني/دير	A complex of building(s) used for Christian worship and education and to house a cloistered/monastic community; also includes convents	مجموعة من المباني تستخدم في العبادة المسيحية، ولسكن مجتمع رهبان	مجمع قساوسة/ دير	مجمع رهباني/دير	مجمع رهباني/ ديري
Mosque/Imam/Marabout	مسجد/ إمام/ مرابط	A structure or building used for Islamic worship, including the tomb/shrine of Islamic Saints/Prophets	منشأ أو مبنى مستخدم في العبادة الإسلامية، ويشمل أضرحة الأولياء			
Mosque/Madrasa Complex	مسجد/ مجمع مدرسة	A complex for Islamic learning	مجمع للتعليم الإسلامي			
Palace/High Status Complex	قصر/ مجمع ذا مكانة رفيعة	A residential building and/or complex which is of elite or high status, but which can also be used for various other governmental and administrative activities	مبنى سكني، أو مجمع سكني مخصص لعلية القوم، من ذوي المكانة الاجتماعية الرفيعة، ويمكن أن يستخدم كذلك لأنشطة حكومية وإدارية مختلفة	قصر/ مجمع ذا منزلة رفيعة	no need to change	
Pendant	قلادة	An arrangement of cairns, which consist of a 'head', attached to a linear arrangement of cairns or a wall which forms a 'tail', and various complex variations on this theme	"تشكيل من الأحجار يشمل على ""رأس""، وملحق به تنسيق طولي من الأحجار أو الحوائط مما يشكل ""ذيل""، وهناك تنويعات مختلفة لنفس التشكيل"			
Pier/Jetty/Breakwater/Mole	دعامة/مرسى/حاجز أمواج/ملطم أمواج	A structure projecting out into a body of water and used to protect a port/harbour and/or to dock, moor, load, and unload boats and ships, etc. Can be built on piles or fill				
Pontoon/Mooring	جسر عائم/مرسى صغير	A structure, object (e.g. post/chain/ring) or floating platform to which watercraft are secured (i.e moored)				
Port/Harbour	ميناء/ مرفأ	A coastal location, ideally sheltered, where boats and ships can moor or dock	موقع ساحلي، وعادة ما يكون محمي، حيث يمكن للقوارب والسفن أن ترسي	ميناء	no need to change	
Portico/Stoa	رواق مُعمد	A covered building for walkway lined with columns				
Press/Press Element	معصرة/ عنصر من عناصر المعصرة	Elements associated with presses, including orthostats, press beds, counterweights etc. **NB for counting purposes, estimate the number of presses this represents, not the number of individual elements. 	عناصر مرتبطة بمعصرة، شاملاً أورثوستات (حجر مغليثي مستعرض)، قاع المعصرة، الأثقال المختلفة. ** ملاحظة: بخصوص العدد، قم بتقدير عدد المعاصر التي تمثلها هذه العناصر، وليس عدد العناصر	معصرة/ عنصر لمعصرة	no need to change	
Production/Processing (Agricultural)	إنتاج/ معالجات (زراعية)	A structure or locale associated with the production or processing of agricultural goods and/or commodities, e.g. evidence for pressing, milling, threshing, etc., or where no more specific information is available. This does not include the growing of crops alone (cf. Farm).	منشأ أو مكان مرتبط بانتاج ومعالجة المنتجات الزراعية و/أو البضائع. مثال: ما يدل على عصر، أوطحن، أو درس، الخ، أو عندما لاتكون هناك معلومات محددة متاحة. ولا يشمل هذا مجرد زراعة محصول (والذي يجب ادخاله: مزرعة)	إنتاج/ معالجة (زراعية)	no need to change	
Production/Processing (Animal/'Kill site')	"إنتاج/ معالجات (حيوانات/""مكان الذبح"")"	A structure or locale associated with the production or processing of animals/animal products, e.g. butchers, tannery, fullonica	منشأ أو مكان مرتبط بانتاج أو معالجة منتجات الحيوانات. مثال: الذبح، ألسلخ، الغسيل (فولونيكا)	"إنتاج/ معالجة (حيوانات/""مكان الذبح"")"	no need to change	
Production/Processing (Glass)	إنتاج/صناعة (زجاج)	A structure or locale associated with the production or processing of glass	منشأ أو مكان مرتبط بانتاج ومعالجة الزجاج	إنتاج/صناعة (زجاج)	yes	إنتاج/معالجات (زجاج)
Production/Processing (Knapping Floor/Stone Processing)	إنتاج/ معالجات (تشذيب الأرضيات/ معالجات الحجر)	A structure or locale associated with the production or processing of stone, e.g. knapping floor, sculpture workshops	منشأ أو مكان مرتبط بانتاج ومعالجة الحجر. مثال: تجهيز بلاطات حجرية، وورش نحت الحجر.	إنتاج/ معالجة (تشذيب الأرضيات/ معالجة الحجر)	no need to change	
Production/Processing (Metal)	إنتاج/صناعة (معادن)	A structure or locale associated with the production or processing of metal	منشأ أو مكان مرتبط بإنتاج أو معالجة المعادن	إنتاج/صناعة (معادن)	yes	إنتاج/معالجات (معادن)
Production/Processing (Pottery)	إنتاج/ صناعة (فخار)	A structure or locale associated with the production or processing of pottery	منشأ أو مكان مرتبط بإنتاج أو معالجة الفخار	إنتاج/ صناعة (فخار)	yes	إنتاج/ معالجات (فخار)
Production/Processing (Salt)	إنتاج/ معالجات (ملح)	A structure or locale associated with the production or processing of salt	منشأ أو مكان مرتبط بإنتاج أو معالجة الملح	إنتاج/ معالجة (ملح)	no need to change	
Production/Processing (Unclassified)	إنتاج/ معالجة (غير محدد)	A structure or locale associated with production or processing of an unknown nature	منشأ أو مكان مرتبط بإنتاج أو معالجة غير معروف طبيعته	إنتاج/ معالجة (غير محدد)	ok	إنتاج/ معالجات (غير مصنف)
Qanat/Foggara	قناة مائية تحت الأرض (فلج)	An underground water channel or canal accessed by shafts, often used for irrigation	قناة أو مجرى مائي تحت الأرض يتم الوصول إليه من خلال فتحات رأسية، ويستخدم عادة في الري			
Railway	سكك حديدية	Track or series of metals rails along which a train runs	مسار أو سلسلة من القضبان الحديدية والتي يسير عليها القطار	سكك حديدية	ok	سكة حديد
Railway Station Stop	محطة سكك حديدية	A structure or locale along the route of a railway where a train stops and is loaded/unloaded with people and/or goods	منشأ أو مكان يقع على مسار السكة الحديدية حيث يقف القطار ويتم تحميله أو تفريغه سواء كان للناس أو البضائع	محطة سكك حديدية	ok	محطة سكة حديد
Ramparts/Fortification/Defensive Earthwork	متاريس/ تحصينات/ منشآت طينية دفاعية	Defensive walls or earthworks, which includes military trenching and built ramparts etc.,	جدران، أو تنسيق الأرض لأغراض دفاعية، ويشمل ذلك حفر الخنادق، وبناء المنحدرات، إلى غير ذلك			
Reservoir/Birka	بركة/ مستودع	An anthropogenically constructed or modified depression used for storing water which is open to the air	منخفض في الهواء الطلق (غير مغظى) من صنع الإنسان، ومن تعديله، يستخدم في تخزين الماء			
Ringed Tomb	مدفن مطوق	A type of burial, using consisting of a central cairn, with a circular enclosure surrounding it, sometimes also called a 'Bullseye' tomb				
Road/Track	طريق/ مسلك	A route of travel intentionally constructed or created over time from anthropogenic use	طريق للسفر، وقد تم بناؤه خصيصاً أو تكون على مدى الزمن مع تراكم استخدام البشر			
Sarcophagus/Coffin	تابوت	An enclosed box into which the remains of a person (or animal) are placed	صندوق مغلق يتم وضع فيه بقايا/جثمان إنسان (أو حيوان)			
School/University	مدرسة/جامعة	A place where people go to be formally educated				
Sculpture/Statue	تمثال/ عمل نحتي	A 3-dimensional artistic depiction of a person, animal, or object	تمثيل فنّي ثلاثي الأبعاد لإنسان، أوحيوان، أو طائر	نحت/تمثال	the original gives the user more info	
Settlement/Habitation Site	مستوطنة/ موقع سكن	A locale where people live	مكان حيث يعيش الناس	مستوطنة/ موقع سكن	ok	مستوطنة/ موقع مستوطنة
Ship/Wreck	سفينة/ حطام سفينة	Remains of a ship or boat, on land or underwater	بقايا مركب أو سفينة سواء فوق الأرض أو تحت الماء	سفينة/ركام سفينة	no	
Canoe	زورق	Small narrow open boat, typically with pointed ends and generally propelled by paddle or sometimes sail				
Cargo Vessel	سفينة شحن	Any watercraft whose main function is the transport of goods or cargo				
Dhow	مركب شراعي	A sailing vessel characteristic of the Arabian peninsula and eastern Indian Ocean with 1 or more masts and lateen sails				
Galley	قادس: سفينة شراعية كبيرة بمجاديف	A watercraft propelled mainly or entirely by multiple sets of oars, and sometimes by sail				
Logboat	قارب معمول من جذع شجرة	A watercraft created by hollowing out the trunk of a tree				
Sailing Vessel	سفينة شراعية	Any watercraft whose main propulsion is by sail				
Steamship	سفينة بخارية	Any watercraft whose main propulsion is by engine rather than sail. Includes all engine types including steam, petrol and diesel				
Submarine	غواصة	A watercraft designed to submerge, travel and operate below the water's surface				
Warship	سفينة حربية	Any watercraft built or fitted out to engage in acts of war				
Shipyard/Boat Construction	مسفن/حوض بناء السفن	A facility where ships and boats are constructed or repaired				
Significant Building	مبنى مميز	A structure or set of structures, which is marked out or conspicuous in some way in comparison to surrounding structures. The building may be noteworthy due to its large size, setting, decoration etc.	منشأ أو مجموعة من المنشآت، والتي تتميز بشكل أو آخر عن باقي المنشآت المحيطة. وقد تأتي أهمية المبنى نتيجة لحجمه، أو موقعه، أو زخارفه إلخ			
Slipway	مزلق سفن	A sloping platform or ramp leading to a body water and used to move watercraft in and out of the water				
Standing Stone	نصب حجري	Feature composed of one or vertically placed stones, often megalithic, e.g. stone circle, stone row	ملمح مكون من حجر أو مجموعة حجارة مجموعة بشكل رأسي، وفي العادة يكون مغليثي. مثال: دائرة من الأحجار، أو صف من الأحجار			
Storage Facility	مكان تخزين	A purpose built facility for the mass storage of a product i.e. Warehouses, Granaries.	منشأ مصمم خصيصاً لتخزين منتجات، مثال مخازن الحبوب، أو مخازن البضائع			
Sub-surface Material	مادة مدفونة تحت الأرض	Buried features, potentially inferred from the presence of surface disturbances or discolouration	ملمح مدفون، من المحتمل قد تم حمايته من عوامل التعرية على السطح، والتي قد تؤدي إلى التدهور، أو فقدان اللون			
Synagogue	معبد يهودي	A building used for Jewish religious worship and education	مبنى مستخدم للعبادة والتعليم على الديانة اليهودية			
Tell	تل	A large mound created from the continuous occupation or repeated abandonment/re-occupation of a specific locale	بروز في الأرض نتيجة لتكرر عملية السكن في ذلك الموقع ثم ترك المكان على مدى فترة زمنية طويلة			
Temple/Sanctuary/Shrine	معبد/حرم/ضريح	An area and/or one or more structures designated for religious worship (not including Muslim, Christian, or Jewish)	مكان و/أو منشأ أو عدة منشآت مخصصة للعبادة (لا يشمل العبادات الإسلامية، أوالمسيحية، أو اليهودية)	معبد/حرم/ضريح	it is the same	
Tent Base/Footing	أساس خيمة	A low wall or arrangement of stones (often surrounding a cleared area), used to weigh down/support the edges of a tent (or other temporary structure)				
Theatre/Odeon	مسرح	A structure designed for performances including oratory, drama, and music, comprising a stage and a semi-circular arrangement of tiered seating	منشأ مصصم للعروض الدرامية والموسيقية والخطابة. ويشمل منصة ومقاعد مرتبة في أشكال شبه دائرية حولها			
Threshing Floor	جُرن: بقعة أرض لدرس الحبوب	A cleared or paved area designated for separating edible grain/seeds from inedible chaff	منطقة خالية أو مبلطة مصممة لفصل الحبوب التي تأكل من أجزاء النبات التي لا تأكل	جُرن: بقعة أرض لدرس الحبوب	ok	أرض لدرس الحبوب
Tomb/Grave/Burial	مقبرة/ قبر/مدفن	A structure, building, or other locale designed to hold or house human (or animal) remains	منشأ أو مبنى أو مكان مصمم لاحتواء بقايا (جثث) الناس أو الحيوانات	مقبرة/ قبر/مدفن	ok	مقبرة/ مكان لدفن الموتى
Trilith (South Arabian)	سد تعويقي عبر الوادي	A linear arrangement of upright stones, often with a parallel row of low stone mounds/hearths.		سد تعويقي عبر الوادي	ok	
Wadi Wall	جدران الوادي	Walls located parallel or perpendicular wadi courses used to control and direct the movement of water for irrigation	جدران مبنية موازية أو عمودية على مجرى وادي تهدف إلى التحكم في مسار المياه بغرض الري			
Watchtower/Observation Post	برج مراقبة/ نقطة مراقبة	A tower used primarily for the purpose of observation and signalling	برج يستخدم في المراقبة وإصدار الإشارات			
Water Control Mechanism/Feature	آلية تحكم في المياه/تكوين	Features or Structures designed to control the flow and movement of water. This term should only be used when there is no other term existing in the glossary that can be used to more accurately describe the feature(s)/structure(s)				
Water wheel	ساقية/ناعورة	A rotating structure used for to control, manage, and/or lift water; not including milling (see Mill (water))	منشأ دوّار (يدور) يستخدم في التحكم وإدارة و/أو رفع الماء، ولا يشمل الطاحونة (أنظر طاحونة مائية)	ناعورة	both of them shoudl be used. 	
Waymarker	علامات الطريق	A stone marker, including milestones, or cairn used to mark a route through the landscape	علامة حجرية، بما في ذلك علامات الطريق، ومجموعات الحجر التي تحدد الطرق في الطبيعة			
Well	بئر	A shaft dug from the surface to access/tap groundwater	فتحة رأسية يتم حفرها من سطح الأرض للوصول إلى المياه الجوفية والنهل منها			
Wheel/Jellyfish	تنسيق دائري	An arrangement of cairns and/or walls consisting of a circular or sub-circular enclosure, with walls/lines of cairns dividing it into 2 or more sections.	تنسيق من أكوام الحجر أو الحوائط ليكون مساحة دائرية أو شبه دائرية، مع تقسيمها داخلياً إلى قسمين أو ثلاثة بالحوائط أو أكوم الحجارة			
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	غير معلوم
x						
						
#Interpretation Certainty	مدى التأكد من التفسير	Definitions	تعريف			
Not Applicable	لا يمكن تحديده	The investigator has entered 'unknown' and certainty does not apply 	"أدخل المحقق ""غير معلوم"" وبالتالي فمدى التأكد يكون غير قابل للتطبيق"	لا يمكن تحديده	ok	غير قابل للتطبيق
Negligible	ضئيل	The investigator has considerable reason to doubt their identifications/interpretations. The evidence may also be contradicted by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً قوية للشك في تحديده/ تفسيره. وقد يكون الدليل مناقض لمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية	ضئيل	ok	تافه
Low	ضعيف	The investigator has considerable reason to doubt their identifications/interpretations. It is It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً قوية للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
Medium	متوسط	The investigator has some reason to doubt their identifications/interpretations. It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق بعض الأسباب للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
High	عالي	The investigator has little reason to doubt their identification, it may or may not be confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباب ضعيفة للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية	عال	same comment as high	
Definite	مؤكد	The investigator has no reason to doubt their identification and it is either confirmed by published sources/other imagery specialists or multiple imagery sources.	ليس لدى المحقق أية أسباب للشك في تحديده/ تفسيره.  وقد تم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
x						
						
#Intepretation Number	رقم التفسير					
1	1					
2 to 5	2 إلى 5					
6 to 10	6 إلى 10					
11 to 20	11 إلى 20					
21 to 50	21 إلى 50					
51 to 100	51 إلى 100					
100 to 500	100 إلى 500					
500+	تزيد عن 500					
Unknown	غير محدد			غير محدد	ok	مجهول
x						
**Emphasis on estimated - we do not want or expect anyone to count up individual features.	** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة			** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة	ok	**  الأعداد تقديرية - ولا نتوقع أن يقوم أحد بالرصد الدقيق لعدد الملامح المستقلة 
