Condition Assessment	تقييم الحالة	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
Probable	محتمل	The investigator has considerable reason (e.g. proximity to archaeology, nature/source of threat etc.,) to suggest that the threat is likely to cause future disturbance to the site (within 3-5 years). For example, it would appear to be an ongoing process e.g. urban expansion, ploughing etc.	لدى المحقق أسباباً معتبرة (مثال: القرب من موقع أثري، الطبيعة/ مصدر المخاطر، الخ) لاقتراح أن المخاطر قد تشكل اضطرابات مستقبلية للموقع (بين 3 إلى 5 سنوات). على سبيل المثال، قد تبدو أنها عملية قائمة ومستمرة مثل الامتداد العمراني، أو الحرث، الخ			
Possible	ممكن	The investigator has limited reason (e.g. proximity to archaeology, nature/source of threat etc.,) to suggest that the threat is likely to cause future disturbance to the site (within 3-5 years). For example, the threat is relatively distant from the archaeology or appears to be related to a one-off, rather than ongoing, event.	لدى المحقق أسباباً محدودة (مثال: القرب من موقع أثري، الطبيعة/ مصدر المخاطر، الخ) لاقتراح أن المخاطر قد تشكل اضطرابات مستقبلية للموقع (بين 3 إلى 5 سنوات). على سبيل المثال، تكون المخاطر بعيدة نسبياً عن الآثار، أو قد تبدو أنها بسبب واقعة واحدة قد لا تتكرر			
Planned	مخطط	The investigator has knowledge of future intended actions which will impact the site.	لدى المحقق معرفة بالنشاطات المستقبلية المخطط لها، والتي ستؤثر على الموقع	متوقع	no	
						
Disturbance Effect	أثر الاضطراب	Definitions	التعريف			
Access Restriction	منع الدخول	The limiting of movement into and around an archaeological site. This can be due to activities such as inundation, as well as occupation/use of the site for military purposes.	تحديد الحركة داخل وحول موقع أثري. وقد يكون سبب ذلك لأنشطة معينة كالغمر، أو بسبب احتلال أو استخدام الموقع لأغراض عسكرية			
Alteration of Terrain	تغير الأرض	Changes in the shape/form of landforms or the topography of a site as the result of activities, such as the bulldozing/dumping of non-local material. 	تغير في شكل سطح الأرض وطبوغرافية الموقع كنتيجة لأنشطة مثل الجرف أو تجميع مخلفات ومواد من خارج الموقع			
Artefact Displacement	تغير أماكن اللقى الأثرية	The dispersal/spread of archaeological material/objects across the surface or subsurface of an archaeological site. This is often the result of ploughing.	تناثر أو انتشار المواد والقطع الأثرية على سطح الأرض أو تحت السطح مباشرة في موقع أثري، وعادة ما تكون نتيجة لحرث الأرض	تغير أماكن اللقى الأثرية	ok	تغير أماكن القطع
Burning	حريق	The damage caused to archaeological sites/features via fire. This can include both damage caused by the flames of the fire, as well as smoke damage.	الضرر الناتج عن الحريق لموقع أثري أو ملمح أثري. وقد ينتج الضرر بسبب ألسنة اللهب أو الدخان الناتج عن الحريق			
Chemical Leaching	استنزاف كيميائي	The drainage/percolation of harmful chemicals/waste materials into the soils of an archaeological site.	الصرف أو الرشح لمواد كيمياوية ضارة، أو لمخلفات كيمياوية خلال التربة بموقع أثري			
Collapse/Structural Damage	إنهيار/ ضرر إنشائي	Damage causing archaeological sites or features to fall in/subside or to become structually unsound, or the structural integrity of the site or feature to be compromised. This may include the partial or full demolition/destruction of a site or feature. This category includes structural deformation, inclination and swelling.	ضرر يؤدي إلى إنهيار أو هبوط لموقع أثري أو ملمح أثري، أو يؤدي لأن يصبح غير سليم إنشائياً، أو أن يتم التفريط في التكاملية الإنشائية لملمح أو موقع أثري. وقد يشمل ذلك الإنهيار أو الهدم الكلي أو الجزئي لموقع أو ملمح			
Compacting	دمج	The pressing or packing down of archaeological sites/artefacts/soils and so the material becomes flattened and/or compressed.	الضغط أو الدك لتربة موقع أثري أو قطع أثرية مما ينتج تسطيح/إفراد المواد الأثرية أو ضغطها			
Covered	مغطى/طمر	Deposits burying/concealing features of archaeological significance, this can include the effects of sedimentation, rock falls, dumping of non-local material and/or the erection of new buildings or structures. It also covers sites that are only partially covered. This could also be caused by vegetation/tree cover.	ركام يغطي أو يخفي ملامح لها أهمية أثرية، وقد يشمل ذلك تأثير الترسيب، أو سقوط صخور، أو تجميع مخلفات ومواد من خارج الموقع، أو إنشاء مباني جديدة. ويشمل ذلك المواقع المغطاة جزئياً	طمر	we shall use both words. 	مغطى
Cracked/Broken/Missing Parts	مشروخ/ مكسور/ فاقد لأجزاء	Cracks will occure as a result of stress to structures. Cracks that occure within a limited/small area will not cause structural instability, however from fractures rainwater enters the structure and also plants and vegetation are often starts to grow-out resulting into structural damage and destabilization. Recording and monitoring of cracks is an important step to understand whether they are enlarging or any deformation is in progress. 				
Earth Displacement	إزاحة سطح التربة	The movement of earth/soil, not necessarily leading to the alteration of landforms and/or the burial of archaeological sites.	حركة الأرض/ التربة، ولا تؤدي بالضرورة إلى تغير شكل سطح الأرض و/أو دفن الموقع الأثري	إزاحة سطحية	إزاحة سطح التربة	إزاحة أرضية
Erosion/Deterioration (micro-bio)	تآكل/تهالك (أحياء-دقيقة)	The process of archaeological material being worn away/weathered, often due to natural causes. (e.g. exposure to wind, rain, sunlight, as well as salt crystalization, insects and pests damage, and growth of micro-organisms)	تأثر المواد الاثرية بالمناخ وعوامل التعرية مما يؤدي لأن تبلى هذه المواد وتتآكل			
Lack of Adehsion	انسلاخ/فقد للالتصاق	When an applied substance no longer adheres or sticks properly to the surface to which it was applied, e.g. Detachment of Plaster (renders) or preparatory layer and paint layer or surface finishing		انسلاخ/فقد للالتصاق	ok	فقد للالتصاق
Lack of Cohesion	فقد للتماسك	When the elements or particles of the same substance no longer stick together, e.g. Crumbling or powdering of renders and surface finishing				
Loss/Removal of Archaeological Material	فقد/ إزاحة مادة أثرية	The removal of archaeological material from a site, often resulting from activities such as looting.	إزالة المادة الأثرية من الموقع، وعادة ما تكون نتيجة لأعمال نهب وسرقة	فقد/ إزاحة مادة أثرية	ok	فقد/ إزالة مواد آركيولوجية
Loss of Intangible Heritage Linked to Heritage Resource	فقد التراث غير الملموس المرتبط بالمورد التراثي	The loss of intangible heritage, such as traditional techniques and craftsmanship, which are directly and specifically linked to a particular heritage place				
Relocation of Archaeological Features	نقل معالم أثرية إلى مكان آخر	The deliberate removal and relocation of archaeological features from one site to another. This may be done to protect archaeological features (e.g. prevent its destruction via inundation etc.) or for other reasons.	النقل المتعمد للملامح الأثرية من موقع لآخر. وقد يتم ذلك لحماية الملامح الأثرية، مثل منع الضرر الذي قد ينتج عن الغمر وغيره من الأنشطة، وقد يكون لأسباب أخرى	نقل معالم أثرية إلى مكان آخر	ok	نقل الملامح الأثرية
Structural Alteration	تغيير في البنية	Damage or alteration to an archaeological site/feature where the result does not cause the feature to become structurally unsound/compromised.	ضرر أو تغيير في الموقع الأثري أو الملمح الأثري لا يؤدي إلى ضرر إنشائي أو إلى أن يصبح الملمح غير سليم إنشائياً			
Surface Loss	فقد للسطح	Loss of the upper layer of the feature.				
Visual Impact	التاثير البصري	An effect or impact on the visual integrity of the heritage place, including a potential or perceived loss of aesthetic value				
Water Damage	ضرر بسبب الماء	The effects of water on archaeological features and sites, this includes rising damp, structural decay, rotting, rusting etc.	تأثير الماء على الموقع الأثري والملامح الأثرية، ويشمل ذلك الرطوبة الناتجة عن الخاصية الشعرية، والتدهور الإنشائي، والتعفن، والصدأ، إلى غير ذلك			
Not Applicable	لا يمكن تحديد	"Only to use when the cause is ""No Visible/Known""."		لا يمكن تحديد	ok	غير قابل للتطبيق
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Disturbance Effect Certainty	مدى التأكد من تأثير الاضطراب	Definitions	التعريف			
Not Applicable	لا يمكن تحديد	The investigator has entered 'unknown' and certainty does not apply 	"أدخل المحقق ""غير معلوم"" و مدى التأكد غير قابل للتطبيق"	لا يمكن تحديد	ok	غير قابل للتطبيق
Negligible	ضئيل	The investigator has considerable reason to doubt their identifications/interpretations. The evidence may also be contradicted by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً كافية للشك في التحديد/ التفسير. قد يكون الدليل مناقض لمصادر منشورة/ متخصصون آخرون في التصوير، أو مصادر مرئية متعددة	ضئيل	ok	تافه
Low	ضعيف	The investigator has considerable reason to doubt their identifications/interpretations. It is It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً كافية للشك في التحديد/ التفسير. ولا تؤكده المصادر المنشورة/متخصصون آخرون في التصوير، أو مصادر مرئية متعددة			
Medium	متوسط	The investigator has some reason to doubt their identifications/interpretations. It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق بعض الأسباب للشك في التحديد/ التفسير. ولا تؤكده المصادر المنشورة/ متخصصون آخرون في التصوير، أو مصادر مرئية متعددة			
High	عالي	The investigator has little reason to doubt their identification, it may or may not be confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً ضعيفة للشك في التحديد/ التفسير. ولا تؤكده المصادر المنشورة/ متخصصون آخرون في التصوير، أو مصادر مرئية متعددة	عال	no	
Definite	مؤكد	The investigator has no reason to doubt their identification and it is either confirmed by published sources/other imagery specialists or multiple imagery sources.	ليس لدى المحقق أية أسباب للشك في التحديد وهو ما تؤكده المصادر المنشورة/ متخصصون آخرون في التصوير، أو مصادر مرئية متعددة			
						
						
Date of Disturbance	تاريخ الاضطراب	Date	التعريف			
Occurred on	حدث في تاريخ	Event occurred on a specific date - in this case, enter the same date in both fields	واقعة حدثت في يوم تاريخ محدد، في هذه الحالة أدخل نفس التاريخ في المجالين			
Occurred between	حدث في الفترة بين	Event occurred at some point between two dates - enter the date span	واقعة حدثت في فترة بين تاريخين محددين، أدخل التاريخين			
		**If you want to indicate that an event has occurred after a certain date, you still choose 'Occurred between', enter the known date it happened after in the 'from' field and the date of data entry (i.e. today's date) in the 'to' field.	"إذا أردت أن تشير إلى أن واقعة حدثت بعد تاريخ محدد، فعليك أن تختار ""حدث في الفترة بين""، وأدخل التاريخ الذي تعرف أنها حدثت بعده في مجال ""من تاريخ"" وتاريخ إدخال المعلومات (مثلاً تاريخ اليوم) في مجال ""إلى تاريخ""."			
Occurred before	حدث قبل 	Event occurred before a specific date. The 'from' field does not apply.	"واقعة حدثت قبل تاريخ محدد. في هذه الحالة، يكون مجال ""من تاريخ"" غير قابل للتطبيق"			
						
Threat Inference Making Assessor Name	اسم المقيم الذي أجرى الاستنتناجات					
						
Detailed Condition Assessments	تقييم الحالة بالتفصيل					
						
Recommendation Plan	خطة مقترحة/توصية					
						
Priority Assignment	الأولوية					
						
Priority Type	نوع أولوية إتخاذ إجراءات التدخل	Definitions	التعريف	نوع أولوية إتخاذ إجراءات التدخل	ok	أولوية إتخاذ إجراءات التدخل
Immediate Action (Emergency)	إجراء فوري (طوارئ)	Emergency				
Within 6 months to 1 year (Urgent)	خلال فترة من ستة أشهر إلى سنة (عاجل)	within 6 months to a year (urgent)				
Within 1 to 2 years (High)	خلال فترة من سنة إلى سنتين (أولوية عالية)	within 1 to 2 years - short-term actions (high)				
Within 2 to 5 years (Medium)	خلال فترة من سنتين إلى خمسة سنوات (أولوية متوسطة)	within 2 to 5 years - mid-term actions (medium)				
Beyond 5 years (Low)	بعد أكثر من خمسة سنوات (ليس أولوية)	beyond 5 years - long-term actions (low)				
x						
Intervention & Recommendation	التدخل & التوصية					
						
Intervention Activity Type	نوع نشاط التدخل	Definitions	التعريف			
Emergency Actions	إجراءات طارئة					
Conservation, Restoration, and Maintenance Activities	حفظ و ترميم وصيانة			حفظ و ترميم وصيانة	ok	حفاظ، ترميم
Preventative and Mitigation Activities/Strategies	أنشطة/ استراتيجيات وقائية واحترازية					
x						
Recommendation Type	نوع التوصية	Definitions	التعريف			
Archaeological/Heritage Activity	أنشطة أثرية/أنشطة تراثية	Archaeological Activity: The non intrusive and intrusive processes by which information is collected about the location, distribution and organisation of past human activities. The approaches can be either extensive or intensive depending the objectives that need to be addressed. Heritage Activity: Programmes of research that seek to identify the archaeological and/or architectural significance of a site or landscape.		أنشطة أثرية/أنشطة تراثية	ok	أنشطة أركيولوجية/ أنشطة تراثية
Aerial photograph interpretation	تفسير صورة جوية	Image interpretation of aerial photographs				
Aerial/Drone survey	"مسح جوي/مسح بـ""درون"""	Detailed survey using an unmanned aerial vehicle, such as a drone, to record a heritage place or feature.		"مسح جوي/مسح بـ""درون"""	ok	"مساحة جوية/ مساحة ب""درون"""
Archaeological excavation	حفريات أركيولوجية	Controlled intrusive fieldwork by archaeological specialists which examines, records and interprets archaeological deposits, features and structures and, as appropriate, retrieves artefacts and ecofact remains within a specified area or site on land or within the inter-tidal zone.		حفريات أثرية	NO, this means archaeological fossils. not archaeological excavations. حفائر آثرية	
archaeological monitoring	مراقبة أثرية	The monitoring by an archaeologist of the excavation of a hole made by a non-archaeologically trained person under controlled circumstances. Any archaeological evidence that comes to light is recorded by the archaeologist during the course of the work.		مراقبة أثرية	ok	مراقبة اركيولوجية
archaeological survey	مسح أثري	Systematic recording and analysis of archaeological and heritage resources in a landscape without excavation.		مسح أثري	ok	مسح أركيولوجي
architectural / measured survey	مسح معماري/مسح قياسي	Recording and analysis of built structures utilising close observation as well as manual or electronic survey equipment such as GPS and REDM (Reflectorless Electromagnetic Distance Measurement). It includes producing measured drawings on site or building by hand measurement, and/or by using various heritage recording tools to produce plans, elevations, etc.		مسح معماري/مسح قياسي	ok	مسح قياسي/ مسح معماري
field observation	ملاحظة بالموقع	Site visit to ascertain the nature and extent of the site and its surrounding environs by means of a visual inspection		مشاهدة ميدانية	same thing, no real difference. 	
General Surface Collection	تجميع عام للمواد الأثرية السطحية	The unsystematic survey of ground surfaces and collection of visible archaeological material at a heritage place (site). Often referred to as a grab collection to give a very rough indication of dating of the site.		التقاط سطحي عام	no. تجميع عام للمواد الأثرية السطحية	مجموعات سطحية عامة
impact assessment	تقييم التأثير	An information gathering exercise to facilitate an understanding of the potential environmental and archaeological impact of a development proposal; includes the collation of specialist reports from a variety of disciplines.				
laser scanning survey	مسح بالليزر	The recording of a surface, or surfaces, using scanning technologies, to create a 3D model of the target structure/object		مسح بتقنية المسح الليزري	no	
literature survey	بحث الأعمال السابقة المنشورة وغير المنشورة	Collation of existing published and unpublished data, reports and articles etc., on the archaeological/heritage site, feature or landscape and surrounding area.		بحث الأعمال السابقة المنشورة وغير المنشورة	ok	بحث في الأدبيات والمطبوعات
photographic recording	توثيق فوتوغرافي	The taking of photographs during informal site visits, which may be undertaken by amateur archaeologists or architectural students. More formal, detailed surveys should be termed Photographic Survey.				
photographic survey	مسح فوتوغرافي	Detailed survey using photographic images to record archaeological and architectural sites or features of interest (including photogrammetric survey)				
salvage recording	التوثيق السريع الإنقاذي	Rapid recording and collection of archaeological data carried out before construction and development projects.		تسجيلات أثناء أعمال الإنقاذ	التوثيق السريع الإنقاذي	تسجيل الإنقاذ
satellite Imagery assessment	تقييم صور القمر الصناعي	Image interpretation of satellite imagery 				
topographic survey	مسح طوبوغرافي	The controlled measurement of natural and artificial landscape features to produce a measured plan or a 3D data set reading as a plan. Features are depicted by either hachures, symbols or contour lines.		مسح طبوغرافي	it is the same translation	
Transect/Grid Survey	مسح على شكل قطاعات/مسح شبكي	The systematic survey of ground surfaces and collection of visible archaeological material. Fieldwalking can be carried out as line-walking, grid collection and transect or quadrant sampling.		مسح على شكل قطاعات/مسح شبكي	ok	مسح مقطعي/ مسح شبكي
Conservation Activity	نشاط متعلق بالحفاظ	All the processes of looking after a place so as to retain its cultural significance. It includes all measures -preventive conservation, remedial conservation, and restoration - aimed at safeguarding the character-defining elements of a cultural heritage so as to retain its vaues and ensures its acceccibility to present and future generation.		نشاط متعلق بالحفظ	same	
adhesion	إلتصاق	The joining of two surfaces by means of a generally viscous, sticky composition such as an adhesive or through physical or chemical force.				
remedial conservation (Other)	ترميم علاجي (اخر)	All actions directly applied to an item or a group of items aimed at arresting current damaging processes or reinforcing their structure. These actions sometimes modify the appearance of the items. To only include activities which do not fall under other categories. e.g. desalination		حفظ علاجي (آخر)	ترميم علاجي (اخر)	حفاظ علاجي (آخر)
consolidation	تقوية	Stabilizing degraded or weakened areas by introducing or attaching materials capable of holding them together.				
filling	ملء	Inserting mortar or other binding material into a hole, crack, or cavity.				
improving /removal of previous conservation/restoration	تحسين/ إزالة الترميم السابق/صيانة			تحسين/ إزالة الترميم السابق/صيانة	ok	تحسين/ إزالة الحفاظ السابق/ ترميم
in-depth condition assessment	تقييم تفصيلي للحالة					
restoration	ترميم	The process of making changes to an object or structure so that it will closely approximate its original state or other state at a specific time in its history.				
repointing	تكحيل	The process of repairing or 'touching up' mortar in masonry walls				
scaffolding	سقالات					
shoring	تدعيم	The process of temporarily supporting a structure				
structural strengthening/reinforcement	تقوية إنشائية/ تدعيم إنشائي	Addition of a structural element, usually in another material, for the purpose of improving the strength of the heritage feature				
Maintenance Activity	أنشطة صيانة	The continuous protective care of the fabric and setting of a place, and is to be distinguished from repair. Repair involves restoration or reconstruction				
surface cleaning	تنظيف السطح	removing dirt, debris and altered products from the surface of recorded heritage				
maintenance policy and programs	سياسة وبرامج الصيانة			سياسة وبرامج الصيانة	ok	سياسة وبرنامج الصيانة
removal of vegetation	إزالة النباتات					
renewal of protective coating	تجديد طبقة الحماية					
Management Planning and Preventative Activity	تخطيط للإدارة وأنشطة وقائية	A field and desk based assessment of heritage condition and vulnerability so that informed decisions can be made regarding how best to preserve, and manage the heritage resource. The preventive activities aimed at avoiding and minimizing future deterioration or loss. These measures are indirect – they do not interfere with the materials and structures of the heritage. They do not modify their appearance.				
designation / registration	إسناد/ تسجيل					
development of conservation and management plan	تطوير خطة حفاظ وإدارة					
fencing/enclosing	إحاطة/ إقامة سور محيط			تطوير خطة حفظ وإدارة	no	
fire mitigation	الحد من خطر الحرائق			تطويق/ إقامة سور محيط		
flood mitigation	الحد من خطر الفيضانات					
intervene with governmental authorities	التدخل بالتعاون مع الجهات الحكومية			التدخل بالتعاون مع الجهات الحكومية	ok	التدخل لدى الجهات الحكومية
intervene with owner/occupant/local inhabitants	التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين			التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين	ok	التدخل لدى المالك/ الشاغل/ السكان المحليين
reburial	إعادة دفن					
relocation development proposal	مقترح نقل بسبب التطوير			مقترح نقل بسبب التطوير	ok	تطوير مقترح بالنقل
site protection/improving security	حماية الموقع/ الارتقاء بالتأمين			حماية الموقع/ الارتقاء بتأمين الموقع	same one, no need.	
temporary covering	تغطية مؤقتة					
No Action Needed	غير مطلوب أي عمل 					
Other Activities	أنشطة أخرى					
x						
