Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
"GEOMETRYCOLLECTION (POLYGON ((35.463674 31.867, 35.463569 31.866698, 35.463845 31.866663, 35.464523 31.866599, 35.464551 31.866891, 35.463674 31.867)))","2018-07-11, 2018-07-11","None, 2004-01-01","None, None",,EAMENA-0186810,,"Probable, Probable, Possible",Definite,"Isolated, Discrete","2 to 5, 1",,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, None","2018-01-01, None",,,"None, None","2004-01-01, None","2018-01-01, None",,,,,"Ploughing, Vegetation/Crops/Trees, Construction",,,"None, None",Positive/Built Feature,Rectangular/Square,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","High, High",,,"Looting/Illegal Activities, Agricultural/Pastoral","2 to 5, 1","Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Religious,"Collapse/Structural Damage, Loss/Removal of Archaeological Material, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage",,Definite,Definite,,,,,,,,,,,"Column/Obelisk, Church/Chapel","High, Definite","Polygonal, Rectangular/Square","Palestine, State of",,"High, Definite","Rubble Spread/Architectural Fragments, Structure","None, None","Medium, High, High, High, High, High",,,Archaeological Site,,"1c6fd99c-9260-406e-be97-69b87b71b4f8, CPF Palestine Training",High,,,,None,,,Definite,"Clearance (Unclassified), Excavation (Hand)",High,E35N31-34,Byzantine (Levant/Mesopotamia),"Agricultural/Pastoral, Agricultural/Pastoral, Domestic Use",,,,,,,"el-Marjam, المرجم",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, 2004-01-01",,,,,,7a91a840-63a2-4de5-989b-119dac846999
"GEOMETRYCOLLECTION (POLYGON ((35.180669 31.585592, 35.180584 31.585435, 35.180807 31.585402, 35.180833 31.585578, 35.180669 31.585592)))",2018-08-29,,,,EAMENA-0186815,,,Not Applicable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"1cbbf7ad-626a-4685-bdb0-ab5ecdd79818, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Negligible,E35N31-32,,,,,,,,,"Khirbet Al-Zaefaran, خربة الزعفران",Plain/Plateau,,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,f180fb4b-3703-40fc-968d-ded77b4ae46f
GEOMETRYCOLLECTION (POINT (35.06656 32.087201)),"2018-10-26, 2018-09-26","None, 2004-12-31","2004-01-01, None",,EAMENA-0186812,,"Planned, Planned","Possible, Definite, Definite, Possible, Probable, Definite",Clustered,6 to 10,,"Maram Abu Zreiq, Maram Abu Zreiq, Maram Abu Zreiq",,"None, None","None, None",,,"2004-01-01, None","None, None","None, None",,,,,"Excavation (Hand), Vegetation/Crops/Trees",,,"None, None",Positive/Built Feature,Semi-circular,,Good,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation), Data Cleaning/Enhancing","Definite, Definite",,,"Archaeological, ","1, 2 to 5, Unknown","Government Authority/Staff, Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Islamic (Levant/Arabia), Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Agricultural/Pastoral, Domestic, Funerary/Memorial","Relocation of Archaeological Features, Loss/Removal of Archaeological Material",,"Possible, Definite, Definite, Possible, Probable, Definite","Medium, Medium, Definite",,,,,,,,,,,"Press/Press Element, Tomb/Grave/Burial, House/Dwelling",Definite,Semi-circular,"Palestine, State of",,"Medium, Medium, Medium",Rubble Spread/Architectural Fragments,"None, None, None","Definite, Medium",,,Archaeological Site,,"1c745adf-8ab5-4343-9d6c-18f5778c5817, CPF Palestine Training",Definite,,,,"None, None, None, None, None, None",,,Definite,"Excavation (Hand), Vegetation/Crops/Trees",Definite,E35N32-11,"Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Iron Age 2 (Southern Levant), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran), Byzantine (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia)","Archaeological, Natural",,,,,,,"Kh. 'Arara, خربة عرارة",Summit,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, 2004-12-31",,,,,,68ede4b8-0d87-489b-8ba6-b7d8c69f4530
GEOMETRYCOLLECTION (POINT (35.084683 32.109428)),"2018-09-27, 2018-10-25","None, 1985-01-01, None","1985-01-01, None, 1985-01-01",,EAMENA-0186811,,"Possible, Planned, Planned",Definite,Linear,Unknown,,"Maram Abu Zreiq, Maram Abu Zreiq, Maram Abu Zreiq",,"None, None, None","None, None, None",,,"1985-01-01, None, 1985-01-01","None, None, None","None, None, None",,,,,"Construction, Reconstruction, Vegetation/Crops/Trees",,,"None, None, None",Negative/Cut/Dug Feature,Semi-circular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Medium, Medium, Definite",,,"Domestic Use, , Maritime","Unknown, Unknown","Government Authority/Staff, Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Funerary/Memorial,"Relocation of Archaeological Features, Artefact Displacement, Collapse/Structural Damage",,Definite,Definite,,,,,,,,,,,"Tomb/Grave/Burial, Cistern",Definite,Unknown,"Palestine, State of",,"Medium, Medium",Cave,"None, None, None","Medium, Medium, Definite",,,Archaeological Site,,"027243ac-705a-4dff-9a09-bba22a175cf4, CPF Palestine Training",Definite,,,,None,,,Definite,"Construction, Vegetation/Crops/Trees, Reconstruction",Medium,E35N32-11,Byzantine (Levant/Mesopotamia),"Domestic Use, Infrastructure/Transport, Natural",,,,,,,"Kh. Karm 'Isa, خربة كرم عيسى",Plain/Plateau,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, 1985-01-01, None",,,,,,4df837a8-637d-4ebf-abcd-333e0d89a90d
"GEOMETRYCOLLECTION (POLYGON ((35.136845 31.890129, 35.136257 31.890238, 35.135249 31.889986, 35.135 31.889345, 35.135515 31.888897, 35.135781 31.888767, 35.136691 31.888518, 35.137214 31.888585, 35.13763 31.888725, 35.137806 31.888932, 35.137922 31.889275, 35.137776 31.889581, 35.137321 31.889873, 35.137107 31.890015, 35.136845 31.890129)))","2004-12-31, 2004-12-31",2018-02-28,None,,EAMENA-0186813,,Probable,"Possible, Probable","Unknown, Unknown","Unknown, Unknown",,"Ahmad Daas, Ahmad Daas",,None,None,,,None,None,None,,,,,Clearance (Bulldozing/Levelling),,,None,Positive/Built Feature,Irregular,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Low,,,Domestic Use,Unknown,"Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,Unknown,,"Possible, Probable",Low,,,,,,,,,,,Unknown,"Not Applicable, Not Applicable","Irregular, Irregular","Palestine, State of",,Not Applicable,"Unknown, Unknown","None, None",Not Applicable,,,Archaeological Site,,"1c74f7d2-59b8-46a2-9bd3-c5f64f72de5a, CPF Palestine Training",Low,,,,"None, None",,,Low,Animal/Pest Infestation,Low,E35N31-33,"Roman Imperial (Levant/Mesopotamia), Byzantine (Levant/Mesopotamia)",Archaeological,,,,,,,خربة عسقلان',Summit,61-90%,,,"Old ArchesID, Comments",Toponym,,None,2018-02-28,,,,,,86ada0ef-ade6-404d-99e2-dfbeb1efc4bc
"GEOMETRYCOLLECTION (POLYGON ((37.995977 32.118697, 37.995333 32.11767, 37.996062 32.116807, 37.996953 32.116307, 37.997961 32.116371, 37.998594 32.116679, 37.999281 32.116888, 37.999324 32.117252, 37.99897 32.117952, 37.998305 32.118406, 37.99721 32.11866, 37.995977 32.118697)))","2018-10-30, 2018-10-30",2018-10-30,None,,EAMENA-0186814,,Possible,Not Applicable,"Dispersed, Dispersed","Unknown, Unknown",,"Mohammad Tuhimer, Mohammad Tuhimer",,None,None,,,None,None,None,,,,,Land/Rock Slide,,,None,"Negative/Cut/Dug Feature, Surface Feature",Irregular,,Unknown,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Not Applicable,,,Unknown,"Unknown, Unknown","Government Authority/Staff, Government Authority/Staff",,Unknown,"Domestic, Hunting/Fishing, Defensive/Fortification",,,,"Low, Low, Low",,,,,,,,,,,"House/Dwelling, Kite","Low, Low","Irregular, Irregular",Jordan,,"Low, Low","Colour/Texture Difference, Rubble Spread/Architectural Fragments","None, None",,,,Archaeological Site,,"1ca57026-08c4-4915-b224-4531791445c0, CPF Palestine Training",Low,,,,None,,,Low,Unknown,Low,E37N32-22,,Natural,,,,,,,,"Slopes, Summit",Unknown,,,"Old ArchesID, Comments",,,None,2018-10-30,,,,,,b332c216-a52b-4c73-bab3-1d19663f0f20
GEOMETRYCOLLECTION (POINT (35.106518 32.006845)),2018-10-06,,,,EAMENA-0186818,,,Possible,,,,Maram Abu Zreiq,,,,,,,,,,,,,,,,,Unknown,Irregular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Domestic,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"1d59299a-b260-48bb-b114-c24dd9ccc4a0, CPF Palestine Training",Medium,,,,None,,,Medium,,Low,E35N32-11,,,,,,,,,خربة البلوطة',Unknown,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,9600f8c0-84e2-4fce-8344-9807bc1fe70a
"GEOMETRYCOLLECTION (POLYGON ((35.150872 32.270391, 35.150093 32.270468, 35.14952 32.270217, 35.149436 32.269901, 35.149339 32.26939, 35.149777 32.268933, 35.15055 32.268786, 35.151039 32.268829, 35.151374 32.269341, 35.15149 32.269831, 35.151419 32.270141, 35.150942 32.27037, 35.150872 32.270391)))","2018-06-12, 2018-06-12",None,None,,EAMENA-0186816,,Probable,Probable,Dispersed,Unknown,,"Moath Jbara, Moath Jbara",,2013-01-14,2018-06-12,,,None,2013-01-14,2018-06-12,,,,,Construction,,,None,Positive/Built Feature,Irregular,,Very Bad,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Definite,,,Building and Development,Unknown,"Government Authority/Staff, Government Authority/Staff",,Unknown,Domestic,"Covered, Loss/Removal of Archaeological Material, Relocation of Archaeological Features, Structural Alteration, Water Damage",,,High,,,,,,,,,,,Unknown,High,Irregular,"Palestine, State of",,High,Rubble Spread/Architectural Fragments,"None, None","Definite, Definite, Definite, High, Definite",,,Archaeological Site,,"1cdb81e1-d6e0-4227-9b45-39cb35781a3b, CPF Palestine Training",Definite,,,,None,,,Definite,Clearance (Bulldozing/Levelling),High,E35N32-13,,Agricultural/Pastoral,,,,,,,"Kh-Biet Jadba, خربة بيت جدبا",Watercourse Bed,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,None,,,,,,1e3fea74-3e12-49e9-ad88-ab8289ccf521
GEOMETRYCOLLECTION (POINT (35.301889 32.334682)),,,,,EAMENA-0186817,,,,,,,,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palestine, State of",,,,,,,,Archaeological Site,,"1d5807cc-b597-43ac-8d2c-520d22d796c0, CPF Palestine Training",Low,,,,,,,High,,Definite,E35N32-14,,,,,,,,,Judeida,Plain/Plateau,31-60%,,,"Old ArchesID, Comments",Designation,,None,,,,,,,55b30e8f-4b0c-4ca8-9952-5b828e0f0fa7
"GEOMETRYCOLLECTION (POLYGON ((35.099105 32.046574, 35.099084 32.045972, 35.099867 32.04609, 35.099851 32.046626, 35.099105 32.046574)))",2018-10-06,,,,EAMENA-0186819,,,Possible,,,,Maram Abu Zreiq,,,,,,,,,,,,,,,,,Positive/Built Feature,Polygonal,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Domestic,,,,Definite,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"1dbada8f-d611-44c2-a481-a9366d977250, CPF Palestine Training",Medium,,,,None,,,Definite,,Medium,E35N32-11,,,,,,,,,البلدة القديمة دير غسانة',Summit,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,6c8924b2-4f9e-4471-88d1-99330832e7c7
"GEOMETRYCOLLECTION (POLYGON ((35.309383 31.432548, 35.30846 31.432548, 35.308444 31.431833, 35.309024 31.431712, 35.309466 31.431696, 35.309383 31.432548)))",2018-10-10,,,,EAMENA-0186824,,,Not Applicable,,,,Mais Sartawi,,,,,,,,,,,,,,,,,Surface Feature,Irregular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Domestic,,,,Low,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"1e27a3f9-585a-448d-8475-3df25ec86f95, CPF Palestine Training",Low,,,,None,,,Low,,Low,E35N31-14,,,,,,,,,,Plain/Plateau,,,,"Old ArchesID, Comments",,,None,,,,,,,ddcebb54-3860-411a-a329-0fb13ad46065
GEOMETRYCOLLECTION (POINT (35.102322 32.121528)),"2018-11-07, 2018-11-07","None, None, None","2004-07-01, 2004-01-01, 2004-01-01",,EAMENA-0186820,,"Planned, Planned, Planned",Definite,"Unknown, Linear","Unknown, 1",,"Maram Abu Zreiq, Maram Abu Zreiq",,"None, None, None","None, None, None",,,"2004-07-01, 2004-01-01, 2004-01-01","None, None, None","None, None, None",,,,,"Reconstruction, Vegetation/Crops/Trees, Construction",,,"None, None, None",Positive/Built Feature,Rectangular/Square,,Fair,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Definite, Medium, Definite",,,"Infrastructure/Transport, Natural, Domestic Use","Unknown, 1, 1","Government Authority/Staff, Government Authority/Staff",,Unknown,"Defensive/Fortification, Funerary/Memorial, Domestic","Collapse/Structural Damage, Covered, Earth Displacement, Artefact Displacement, Loss/Removal of Archaeological Material, Relocation of Archaeological Features",,,"Medium, Definite, Definite",,,,,,,,,,,"House/Dwelling, Tomb/Grave/Burial, Watchtower/Observation Post","Definite, Definite","Rectangular/Square, Unknown","Palestine, State of",,"Medium, Medium, Medium","Structure, Tower","None, None","Definite, Medium, Medium, Medium, Medium, Medium",,,Archaeological Site,,"1dd5feb7-be92-4f1c-9b8b-93bf38be0b66, CPF Palestine Training",Definite,,,,None,,,Definite,"Reconstruction, Vegetation/Crops/Trees, Construction",Definite,E35N32-11,,"Maritime, Natural, Domestic Use",,,,,,,"Qasr Abu Jelaia, قصر ابو جليه",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None, None",,,,,,37ece268-b73a-4924-9058-1562b176c28d
GEOMETRYCOLLECTION (POINT (35.032228 32.092914)),"2018-11-07, 2018-11-07","None, None","2004-01-01, 2004-01-01",,EAMENA-0186821,,"Planned, Planned","Definite, Definite, Probable, Definite",Unknown,6 to 10,,"Maram Abu Zreiq, Maram Abu Zreiq",,"None, None","None, None",,,"2004-01-01, 2004-01-01","None, None","None, None",,,,,"Reconstruction, Vegetation/Crops/Trees",,,"None, None",Positive/Built Feature,Semi-circular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","Definite, Definite",,,"Maritime, Natural","Unknown, 1, 1","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Islamic (Levant/Arabia), Iron Age (Levant/Mesopotamia), Islamic (Levant/Arabia)","Domestic, Religious","Collapse/Structural Damage, Covered",,"Definite, Definite, Probable, Definite","Definite, Definite",,,,,,,,,,,"Circus/Hippodrome, Mosque/Imam/Marabout, Basin/Tank",Definite,Semi-circular,"Palestine, State of",,"Medium, High, High",Rubble Spread/Architectural Fragments,"None, None","Definite, Medium",,,Archaeological Site,,"CPF Palestine Training, 1e0ec45e-3b02-41bd-9242-a7b9c0953af2",Definite,,,,"None, None, None, None",,,Definite,"Reconstruction, Vegetation/Crops/Trees",Definite,E35N32-11,"Islamic, Late (Ottoman) (Levant/Arabia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Iron Age 1 (Southern Levant), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)","Maritime, Natural",,,,,,,"Kh. Deir Qassis, خربة. دير قسيس",Summit,11-30%,,,"Comments, Old ArchesID","Toponym, Toponym",,None,"None, None",,,,,,bf8b5a6c-1ce5-4b06-b9b9-f9c4f8a21075
"GEOMETRYCOLLECTION (POLYGON ((35.080629 31.584601, 35.080122 31.584206, 35.080912 31.583475, 35.081521 31.583774, 35.080629 31.584601)))","2018-05-16, 2018-05-16",None,None,,EAMENA-0186822,,Probable,Probable,Adjoining,Unknown,,"Sara Al Shammas, Sara Al Shammas",,2004-12-30,2018-05-16,,,None,2004-12-30,2018-05-16,,,,,Clearance (Bulldozing/Levelling),,,None,Positive/Built Feature,Irregular,,Good,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)",Low,,,Agricultural/Pastoral,"51 to 100, 51 to 100, 51 to 100","Government Authority/Staff, Government Authority/Staff",,Islamic (Levant/Arabia),Public/Institutional,,,Probable,Low,,,,,,,,,,,"Building/Enclosure, Bath-house, Flooring/Mosaic/Paving",High,Irregular,"Palestine, State of",,"Low, High, Low",Structure,"None, None",,,,Archaeological Site,,"00c4d197-e92d-4ec0-90f0-86cb975c0e8f, CPF Palestine Training",Low,,,,None,,,High,Animal/Pest Infestation,Low,E35N31-32,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)",Building and Development,,,,,,,"Khirbet Munaein, خربة منعين",Plain/Plateau,61-90%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,None,,,,,,5b141b2e-01e7-4ca6-b404-34fee40e8bd7
GEOMETRYCOLLECTION (POINT (35.247984 31.789811)),"2018-06-24, 2018-06-24",None,None,,EAMENA-0186823,,"Probable, Probable, Probable","Definite, Definite",Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,2001-01-01,2018-01-01,,,None,2001-01-01,2018-01-01,,,,,"Road/Track, Construction, Precipitation",,,None,Negative/Cut/Dug Feature,Rectangular/Square,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",High,,,Natural,1,"Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia)","Hydrological, Agricultural/Pastoral","Covered, Water Damage",,"Definite, Definite","High, High",,,,,,,,,,,Cistern,High,Rectangular/Square,"Palestine, State of",,Definite,Pit/Shaft/Tunnel,"None, None","High, Medium",,,Archaeological Site,,"0283896c-8bc0-48de-8b72-d00b3e778e85, CPF Palestine Training",High,,,,"None, None",,,Definite,Water Action,High,E35N31-33,"Byzantine (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)","Infrastructure/Transport, Building and Development, Natural",,,,,,,"Jabal el-Masharef, Mount Scopus, جبل المشارف",Slopes,11-30%,,,"Old ArchesID, Comments","Designation, Toponym, Toponym",,None,None,,,,,,b83530ef-a7a9-414a-a7f1-6b33a58d8578
GEOMETRYCOLLECTION (POINT (35.325137 31.725378)),"2018-05-15, 2018-05-15","None, None","None, None",,EAMENA-0186825,,"Probable, Possible, Probable","Possible, Possible","Adjoining, Adjoining, Discrete","6 to 10, Unknown, 1",,"Mohammad Jaradat, Mohammad Jaradat",,"2000-01-01, 2000-01-01","2018-01-01, 2018-01-01",,,"None, None","2000-01-01, 2000-01-01","2018-01-01, 2018-01-01",,,,,"Water Action, Demolition/Destruction, Occupation/Continued Use",,,"None, None",Positive/Built Feature,Unknown,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","High, High",,,"Agricultural/Pastoral, Natural","6 to 10, Unknown, 1","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Islamic (Levant/Arabia)",Religious,"Compacting, Erosion/Deterioration, Water Damage",,"Possible, Possible",Definite,,,,,,,,,,,"Production/Processing (Agricultural), House/Dwelling, Tomb/Grave/Burial","Definite, Definite, Definite","Rectangular/Square, Irregular, Rectangular/Square","Palestine, State of",,"High, High, Definite","Platform/Terrace, Cave, Structure","None, None","Medium, Medium, High",,,Archaeological Site,,"1e3701a0-517a-4b24-a38a-bf103b52814c, CPF Palestine Training",High,,,,"None, None",,,Definite,"Occupation/Continued Use, Water Action",High,E35N31-32,"Islamic, Late (Ottoman) (Levant/Arabia), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)","Natural, Domestic Use, Agricultural/Pastoral",,,,,,,"Qasr Mis'if, قصر مسعف",Valley Terrace,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,fd76145c-b3f0-414d-ae1b-d7c0a2c41c5d
