PRIMARY.NAME,ARCHES.ID,NAME.E41,NAME_TYPE.E55,GEOMETRIC_PLACE_EXPRESSION.SP5,LOCATION_CERTAINTY.I6,HERITAGE_CLASSIFICATION_TYPE.E55,SITE_OVERALL_SHAPE_TYPE.E55,MEASUREMENT_UNIT.E58,MEASUREMENT_NUMBER.E60,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,TOPOGRAPHY_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,INVESTIGATOR_NAME.E41,INVESTIGATOR_ROLE_TYPE.E55,ASSESSMENT_ACTIVITY_TYPE.E55,ASSESSMENT_ACTIVITY_DATE.E49,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,MODIFICATION_TYPE.E55,MODIFICATION_DATE.E49,MODIFICATION_DESCRIPTION.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,CONSTRUCTION_NOTE.E62,EFFECT_TYPE.S9,DAMAGE_TREND_TYPE.E55,OVERALL_DAMAGE_SEVERITY_TYPE.E55,RECOMMENDATION_TYPE.E55,INTERVENTION_ACTIVITY_TYPE.E55,PRIORITY_TYPE.E55,VULNERABILITY_TYPE.E55,THREAT_PROBABILITY_TYPE.E55,RISK_EXTENT_TYPE.E55,RISK_SEVERITY_TYPE.E55,RISK_LEVEL.I4,RISK_LEVEL_CERTAINTY.I6,MITIGATION_STRATEGY_TYPE.E55,MITIGATION_PRIORITY_TYPE.E55,OVERALL_CONDITION_TYPE.E55,OVERALL_PRIORITY_TYPE.E55,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION_REMARKS_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,ARCHAEOLOGICAL_FROM_DATE.E61,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,MEASUREMENT_NUMBER.E60,MEASUREMENT_UNIT.E58,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,SITE_OVERALL_SHAPE_TYPE.E55,TOPOGRAPHY_TYPE.E55,COUNTRY_TYPE.E55,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,HERITAGE_CLASSIFICATION_TYPE.E55
EAMENA-F-0000027,93875000-257e-4ef1-bb02-67afd9f8563d,test feature,Toponym,,,,,,,,,,,,,,,,,,,,Azadeh Vafadari,EAMENA Project Staff,Condition Assessment (Image Interpretation),2019-11-05T00:00:00,,,,,,,,,,Chemical Leaching,Stable,Moderate Damage,,,,,Probable,11-30%,2 - Moderate,Very High,,Architectural/Measured Survey,Medium (Within 2 to 5 years),,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMENA-F-0000028,750f53d1-f442-4001-8ba6-688e23897f41,Mango villa,Toponym,"{u'type': u'Point', u'coordinates': [35.931715911017626, 31.9493707895177]}",Definite,,Irregular,,,,,E35N31-44,Unknown,Contemporary Islamic (MENA),Second World War (MENA),Probable,House/Dwelling,Medium,Domestic,Medium,General Description,"<div style=""text-align: right;""><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">تم تصميم منزل منكو من قبل المهندس المعماري مختار صقر ، الذي صممه بالقرب من بيت البلبيسي الثاني ، يقع منزل منكو على&nbsp;</span><a href=""https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D9%84_%D8%B9%D9%85%D8%A7%D9%86"" title=""جبل عمان"" style=""background-color: rgb(255, 255, 255); color: rgb(11, 0, 128); background-image: none; background-position: initial; font-family: Arial; font-size: 15.2px;"">جبل عمان</a><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">&nbsp;، وهو بمثابة مثال على نمط جديد من العمارة الأردنية ويختلف كثيرا عن المنازل التي بنيت في المنطقة خلال العشرينات والثلاثينيات ، وكذلك من معاصريها في الاربعينات. تم بناء المنزل من حجر الورد السلس ولديه العديد من الشرفات الملتفه . إن التشابه الواضح بين منزل منكو مع المنازل الاخرى في الاربعينيات هو الفصل الواضح بين الغرف ، بدلا من استخدام خطة ثلاثية أكثر تقليدية. تم بناء منزل منكو من جزئين منفصلين ، وذلك لاستيعاب الشقيقين الذين يعيشان فيه عندما تم </span></div><div style=""text-align: right;""><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">م بناء منزل منكو في أواخر الأربعينيات من قبل الأخوين كمال وعلي منكو، أبناء حمدي منكو، الذين كانوا جزءا من إحدى السلالات التجارية الرئيسية في عمان خلال ذلك العصر. بني المنزل على شارع عمر بن الخطاب (الذي كان يطلق عليه فيما بعد اسم شارع منكو)، وكان المنزل قريب إلى العديد من المنازل الاخرى، جنوب بيت حمو وعكراوي، وعبر الشارع من منزل المفتي. عندما بنيت عائلة منكو المنزل كانت تملك ايضا عدة منازل اخرى في&nbsp;</span><a href=""https://ar.wikipedia.org/wiki/%D8%B4%D8%A7%D8%B1%D8%B9_%D9%85%D9%86%D9%83%D9%88"" title=""شارع منكو"" style=""background-color: rgb(255, 255, 255); color: rgb(11, 0, 128); background-image: none; background-position: initial; font-family: Arial; font-size: 15.2px;"">شارع منكو</a><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">. خلال 1970 تم اعادة تشكيل المناطق الداخلية من الطابق العلوي. تم تجديد الوحدة العليا إلى أبعد من ذلك عندما أضيف في عام 1995 سقيفة من غرفتين. لا تزال عائلة منكو تعيش في المنزل لهذا اليوم.</span><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">. بناءه</span></div>",Mariam Ibrahim ; Mohammad Mubarak; Samar Habahbeh ,Government Authority/Staff; Government Authority/Staff; Government Authority/Staff,Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation),2019-11-06T00:00:00; 2019-11-06T00:00:00; 2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,Compacting,No Longer Present,Intact/No Damage,Consolidation; Field Observation; Restoration,"Conservation, Restoration, and Maintenance Activities; Conservation, Restoration, and Maintenance Activities; Conservation, Restoration, and Maintenance Activities",Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years),,,,,,,,,,,,,Contemporary Islamic (MENA),Second World War (MENA),Probable,2019-11-06T00:00:00,Domestic,Medium,House/Dwelling,Medium,Mariam Ibrahim and Samar habahbeh and mohammad mubarak,,,,,E35N31-44,Irregular,Unknown,Jordan,Occupied / In Use; Occupied / In Use,,,,General Description,"<div style=""text-align: right;""><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">تم تصميم منزل منكو من قبل المهندس المعماري مختار صقر ، الذي صممه بالقرب من بيت البلبيسي الثاني ، يقع منزل منكو على&nbsp;</span><a href=""https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D9%84_%D8%B9%D9%85%D8%A7%D9%86"" title=""جبل عمان"" style=""background-color: rgb(255, 255, 255); color: rgb(11, 0, 128); background-image: none; background-position: initial; font-family: Arial; font-size: 15.2px;"">جبل عمان</a><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">&nbsp;، وهو بمثابة مثال على نمط جديد من العمارة الأردنية ويختلف كثيرا عن المنازل التي بنيت في المنطقة خلال العشرينات والثلاثينيات ، وكذلك من معاصريها في الاربعينات. تم بناء المنزل من حجر الورد السلس ولديه العديد من الشرفات الملتفه . إن التشابه الواضح بين منزل منكو مع المنازل الاخرى في الاربعينيات هو الفصل الواضح بين الغرف ، بدلا من استخدام خطة ثلاثية أكثر تقليدية. تم بناء منزل منكو من جزئين منفصلين ، وذلك لاستيعاب الشقيقين الذين يعيشان فيه عندما تم </span></div><div style=""text-align: right;""><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">م بناء منزل منكو في أواخر الأربعينيات من قبل الأخوين كمال وعلي منكو، أبناء حمدي منكو، الذين كانوا جزءا من إحدى السلالات التجارية الرئيسية في عمان خلال ذلك العصر. بني المنزل على شارع عمر بن الخطاب (الذي كان يطلق عليه فيما بعد اسم شارع منكو)، وكان المنزل قريب إلى العديد من المنازل الاخرى، جنوب بيت حمو وعكراوي، وعبر الشارع من منزل المفتي. عندما بنيت عائلة منكو المنزل كانت تملك ايضا عدة منازل اخرى في&nbsp;</span><a href=""https://ar.wikipedia.org/wiki/%D8%B4%D8%A7%D8%B1%D8%B9_%D9%85%D9%86%D9%83%D9%88"" title=""شارع منكو"" style=""background-color: rgb(255, 255, 255); color: rgb(11, 0, 128); background-image: none; background-position: initial; font-family: Arial; font-size: 15.2px;"">شارع منكو</a><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">. خلال 1970 تم اعادة تشكيل المناطق الداخلية من الطابق العلوي. تم تجديد الوحدة العليا إلى أبعد من ذلك عندما أضيف في عام 1995 سقيفة من غرفتين. لا تزال عائلة منكو تعيش في المنزل لهذا اليوم.</span><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 15.2px;"">. بناءه</span></div>",
EAMENA-F-0000029,a5a54bf1-fe71-48f6-ae66-d7909a770ed3,قرية الكباريتي,Designation,"{u'type': u'Point', u'coordinates': [35.930998921975934, 31.947495769108357]}",Definite,,Irregular,,,,,,Slopes,Contemporary Islamic (MENA); Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA); Contemporary Islamic, Modern (MENA)",Definite; Definite,Building; Building,Definite; Definite,Domestic; Public/Institutional,Definite; Definite,General Description,مبنى تراثي يتم استخدامه لاغراض ثقافية وخيرية,MOHAMMED AL TARAWNEH,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1920-01-01T00:00:00; 1920-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,,,,,,Structural Alteration,Disturbance Increasing,Moderate Damage,Improving/Removal of Previous Conservation/Restoration; Intervene with Owner/Occupant/Local Inhabitants,"Conservation, Restoration, and Maintenance Activities; Preventative and Mitigation Activities",Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Use of Incompatible Materials for Repair,Possible,31-60%,3 - Major,Medium,2 - Possible,Intervene with Owner/Occupant/Local Inhabitants,High (Within 1 to 2 years),Fair,Within 2 to 5 Years  ,Every Year,Overall Condition Additional Remarks,Contemporary Islamic (MENA); Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA); Contemporary Islamic, Modern (MENA)",Definite; Definite,1930-01-01T00:00:00,Domestic; Public/Institutional,Definite; Definite,Building; Building,Definite; Definite,Mohammad Tarawneh; Mohammad Tarawneh,,,,,,Irregular,Slopes,Jordan,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1920-01-01T00:00:00; 1920-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,General Description,مبنى تراثي يتم استخدامه لاغراض ثقافية وخيرية,
EAMENA-F-0000030,9bb74344-14ea-44bf-b771-71694ad8c4ef,Arwa Bent Al - Harith School,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.926714845249755, 31.94896814849301], [35.92640156326956, 31.949031873875583], [35.926506705895676, 31.949290416416687], [35.926579661849914, 31.949430611722093], [35.9266571778378, 31.949580365560635], [35.92684600525422, 31.949531206298005], [35.926714845249755, 31.94896814849301]]]}",High,,Rectangular/Square,,,,,E35N31-44,Unknown,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,School/University,Definite,Educational,Definite,,,Group3,Government Authority/Staff,Desk-based Assessment,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,Other; Other,2018-11-06T00:00:00; 2018-11-06T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,Reconstructed,2100-11-10T00:00:00; 2100-11-10T00:00:00; 2100-11-10T00:00:00,,Pouring/Precasting,Back wall of concrete; Back wall of concrete,Covered; Unknown,Disturbance Increasing; Unknown,Moderate Damage; No Visible/Accessible/Known,Field Observation; Impact Assessment; Removal of Vegetation,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Construction Material,Possible,91-100%,2 - Moderate,High,5 - Certain,Intervene with Owner/Occupant/Local Inhabitants,Urgent (Within 6 months to 1 year ),Fair,Within 2 to 5 Years  ,Every 3-5 Years,,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,2005-04-01T00:00:00,Educational,Definite,School/University,Definite,Mohamad Atoom,,,,,E35N31-44,Rectangular/Square,Unknown,Jordan,Occupied / In Use; Occupied / In Use,Other; Other,2018-11-06T00:00:00; 2018-11-06T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,,,
EAMENA-F-0000031,13d311fe-aa77-4652-a782-a05b0e2858b9,Aref Al-Aref 1923,Toponym,"{u'type': u'Point', u'coordinates': [35.93235145930356, 31.949489062485867]}",Definite,,Irregular,,,,,E35N31-44,Unknown,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,House/Dwelling,Medium,Domestic,Medium,,,Mariam Ibrahim; Mohammad Mubarak; Samar Habahbeh ,Government Authority/Staff; Government Authority/Staff; Government Authority/Staff,Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation),2019-11-06T00:00:00; 2019-11-06T00:00:00; 2019-11-06T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Compacting,Unknown,No Visible/Accessible/Known,Improving/Removal of Previous Conservation/Restoration; Salvage Recording; Surface Cleaning,"Conservation, Restoration, and Maintenance Activities; Conservation, Restoration, and Maintenance Activities; Conservation, Restoration, and Maintenance Activities",Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years),,,,,,,,,,,,,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,2019-11-06T00:00:00,Domestic,Medium,House/Dwelling,Medium,Mariam Ibrahim and samar habahbeh and mohammad mubarak,,,,,E35N31-44,Irregular,Unknown,Jordan,Vacant / Not in use; Vacant / Not in use,,,,,,
EAMENA-F-0000032,cf8969a5-6c02-4311-80e4-bf2eafafcdea,المدرسة الاهلية,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.92955152864811, 31.94817684720111]}",Definite,,Rectangular/Square,,,,,,Plain/Plateau,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,School/University,Definite,Educational,Definite,General Description,مبنى تراثي يتم استخدامة كمدرسة الى الوقت الحالي,MOHAMMAD AL TARAWNEH,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1950-01-01T00:00:00; 1950-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,2019-11-06,Educational,Definite,School/University,Definite,Mohammad Tarawneh,,,,,,Rectangular/Square,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1950-01-01T00:00:00; 1950-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,General Description,مبنى تراثي يتم استخدامة كمدرسة الى الوقت الحالي,
EAMENA-F-0000033,1ee08c2c-c121-46ab-ade9-c37b5ac6b3d5,Adventist Church,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.92708289018979, 31.949218045779645], [35.92701207980631, 31.948879391096796], [35.92670952666217, 31.948930371441733], [35.92677819114747, 31.949290874586552], [35.92708289018979, 31.949218045779645]]]}",Definite,,Rectangular/Square,,,,,E35N31-44,Plain/Plateau,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,Church/Chapel,Definite,Religious,Definite,,,Group3,Government Authority/Staff,Desk-based Assessment,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,,,,Reconstructed,2019-09-10,,Iron/Steel Construction; Tiling (Wall/Floor); Unknown,Iron/ Steel construction with  concrete blocks; Iron/ Steel construction with  concrete blocks; concrete; concrete; tiling walls; tiling walls,Covered; Structural Alteration,Stable; Unknown,No Visible/Accessible/Known,Designation/Registration,Preventative and Mitigation Activities,Medium (Within 2 to 5 years),Lack of Local and Traditional Knowledge,Possible,91-100%,3 - Major,Very High,5 - Certain,No Action Needed,Low (Beyond 5 years),Poor,Immediate Actions,Every 6 Months,,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,2015-04-01T00:00:00,Religious,Definite,Church/Chapel,Definite,Mohamad Atoom,,,,,E35N31-44,Rectangular/Square,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,,,,,,
EAMENA-F-0000034,f195ce5d-3465-419d-905d-4c22ad354dc1,بيت تراثي  3,Toponym,"{u'type': u'Point', u'coordinates': [35.931691728018876, 31.94854503726738]}",Definite,,Rectangular/Square,,,,,,Plain/Plateau,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Possible,Building,Definite,Domestic,Definite,General Description,منزل تراثي يعود الى احد العائلات في منطقة جبل&nbsp; عمان,MOHAMMAD AL TARAWNEH,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1940-01-01T00:00:00; 1940-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,,,,,,Compacting; Visual Impact; Water Damage,Disturbance Increasing; Disturbance Increasing; Disturbance Increasing,Severe Damage ,Improving/Removal of Previous Conservation/Restoration,"Conservation, Restoration, and Maintenance Activities",Urgent (Within 6 months to 1 year),,,,,,,Improving/Removal of Previous Conservation/Restoration; Maintenance Policy and Programs; Removal of Vegetation,Urgent (Within 6 months to 1 year ); Urgent (Within 6 months to 1 year ); Urgent (Within 6 months to 1 year ),Very bad,Within 6 Months to a Year ,Every 6 Months,Overall Condition Additional Remarks,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Possible,,Domestic,Definite,Building,Definite,Mohammad Tarawneh,,,,,,Rectangular/Square,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1940-01-01T00:00:00; 1940-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,General Description,منزل تراثي يعود الى احد العائلات في منطقة جبل&nbsp; عمان,
EAMENA-F-0000035,46440bb8-35ef-47ef-8dc5-0165bf42fa3b,Heritage House 1,Toponym,"{u'type': u'Point', u'coordinates': [35.93264113787717, 31.949668857967964]}",High,,Rectangular/Square,,,,,E35N31-44,Unknown,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,House/Dwelling,Medium,Domestic,Medium,,,Mariam Ibrahim; Mohammad Mubarak; Samar Habahbeh,Government Authority/Staff; Government Authority/Staff; Government Authority/Staff,Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation); Archaeological Assessment (Image Interpretation),2019-11-06T00:00:00; 2019-11-06T00:00:00; 2019-11-06T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Erosion/Deterioration,Unknown,Severe Damage ,Removal of Vegetation; Shoring; Site Protection/Improving Security,"Conservation, Restoration, and Maintenance Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities",Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),,,,,,,,,,,,,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,,Domestic,Medium,House/Dwelling,Medium,Mariam Ibrahim,,,,,E35N31-44,Rectangular/Square,Unknown,Jordan,Vacant / Not in use; Vacant / Not in use,,,,,,
EAMENA-F-0000036,88f82d93-e346-40f7-8101-c5848bad31a6,مطعم سفره,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.92910001392685, 31.949289673397985]}",Definite,,Rectangular/Square,,,,,,Plain/Plateau,Contemporary Islamic (MENA); Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA); Contemporary Islamic, Modern (MENA)",Definite; Definite,Building; House/Dwelling,Definite; Definite,Domestic; Public/Institutional,Definite; Definite,General Description,مبنى تراثي يتم استخدامة حاليا كمطعم في منطقة جبل عمان,MOHAMMAD AL TARAWNEH,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-06T00:00:00,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1920-01-01T00:00:00; 1920-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Contemporary Islamic (MENA); Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA); Contemporary Islamic, Modern (MENA)",Definite; Definite,1920-01-01; 2011-01-01,Domestic; Public/Institutional,Definite; Definite,Building; House/Dwelling,Definite; Definite,Mohammad Tarawneh; Mohammad Tarawneh,,,,,,Rectangular/Square,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,Managed Site; Managed Site,1920-01-01T00:00:00; 1920-01-01T00:00:00,2019-11-06T00:00:00; 2019-11-06T00:00:00,General Description,مبنى تراثي يتم استخدامة حاليا كمطعم في منطقة جبل عمان,
EAMENA-F-0000037,606a2d6e-d657-42c9-8a99-bd53cfb5f14a,Heritage House 2,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.9283506935062, 31.947941270576166], [35.92809963864417, 31.947975864775188], [35.92806959803418, 31.94786661997952], [35.92832065273249, 31.947821101276347], [35.9283506935062, 31.947941270576166]]]}",High,,Rectangular/Square,,,,,E35N31-44,Plain/Plateau,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,House/Dwelling,High,Domestic,High,,,Group3,Government Authority/Staff,Desk-based Assessment,2019-11-06T00:00:00,Unknown; Unknown,,,,Reconstructed,2019-10-10T00:00:00,<p>covered the heritage feature</p><p>built and added many architectural elements like Pillars with porch.</p>,Iron/Steel Construction; Tiling (Roof); Tiling (Wall/Floor); Unknown,Iron with concrete; Iron with concrete; Tiling porch; Tiling porch; Tiling wall; Tiling wall; concrete; concrete,Covered,Stable,,Designation/Registration; Intervene with Owner/Occupant/Local Inhabitants; Photographic Recording,Emergency Actions; Emergency Actions; Preventative and Mitigation Activities,Emergency (Immediate Action); Emergency (Immediate Action); Emergency (Immediate Action),Lack of Local and Traditional Knowledge,Possible,31-60%,3 - Major,High,5 - Certain,Designation/Registration; Field Observation; Intervene with Owner/Occupant/Local Inhabitants; Photographic Recording,Emergency (Immediate Action); Emergency (Immediate Action); Emergency (Immediate Action); Emergency (Immediate Action),Poor,Immediate Actions,Every Year,,Contemporary Islamic (MENA),"Contemporary Islamic, Modern (MENA)",Definite,2017-11-06T00:00:00,Domestic,High,House/Dwelling,High,Mohamad Atoom,,,,,E35N31-44,Rectangular/Square,Plain/Plateau,Jordan,Unknown; Unknown,,,,,,
EAMENA-F-0000038,6eed7f62-5edb-4bb4-9de6-428309fe441d,باب الهوى بيوت تراثيه,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.85994849487885, 32.50510507205357], [35.859832623252956, 32.504974779447934], [35.85997424401991, 32.50504354495963], [35.85994849487885, 32.50510507205357]]]}",Low,Group of Features; Group of Features,,,,,,,,,,,,,,,,,awni.tashtoosh,Government Authority/Staff,Desk-based Assessment,2019-11-04T00:00:00,Unknown; Unknown,,,,,,,,,Alteration of Terrain,No Longer Present,No Visible/Accessible/Known,In-depth Condition Assessment,Preventative and Mitigation Activities,High (Within 1 to 2 years),,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Group of Features; Group of Features
EAMENA-F-0000039,037dffa4-e87b-4482-8e8c-6bc2ce119eef,,,,,,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMENA-F-0000040,32726c82-88cb-4f78-9130-670895bf84e5,Tannur temple,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.70660804600738, 30.968959986528418], [35.70633714289688, 30.968966886077908], [35.70631568522476, 30.968867992487304], [35.706149388265835, 30.968874892043473], [35.706101108667276, 30.968656405856393], [35.7065758594992, 30.968638006996756], [35.70660804600738, 30.968959986528418]]]}",,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-08-05,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Destroyed,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000041,54d85d03-a6c9-44c2-9551-edfefcbd3b51,Busayra,Toponym,"{u'type': u'Point', u'coordinates': [35.60390453258024, 30.745418124265058]}; {u'type': u'Point', u'coordinates': [35.60403327861295, 30.744901754771732]}; {u'type': u'Point', u'coordinates': [35.60458044925199, 30.746054362697464]}",,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-07-10,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 6 Months to a Year ,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000042,67b5cd75-d957-4284-bacd-1e5a14757228,Migalits Church ,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.629835086071004, 30.70037124457042], [35.62968488203875, 30.700555747965353], [35.630135493153254, 30.70083250239628], [35.63029106127612, 30.70066644955145], [35.629835086071004, 30.70037124457042]]]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-04-10,Not Applicable; Not Applicable,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 1 to 2 Years  ,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Not Applicable; Not Applicable,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000043,77c53c01-188b-4293-bbf9-8cf273835e2d,Garandal Church,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.654849387701304, 30.71509776652624], [35.654575802218076, 30.715203839756853], [35.65465895069753, 30.715351419878004], [35.65492448939001, 30.715240734861098], [35.654849387701304, 30.71509776652624]]]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-03-03,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
